close_month,month_num,sales_all,n_lag,median_days_list_to_close,pct_listed_same_month,pct_listed_1mo_before,pct_listed_2mo_before,pct_listed_3mo_before,pct_listed_4mo_or_more_before,pct_fresh,pct_aged,thin
Jan,1,2986,1445,77,1.0,11.8,36.7,28.7,21.8,12.8,87.2,
Feb,2,2441,1200,75,2.2,23.9,26.1,20.0,27.8,26.1,73.9,
Mar,3,2918,1620,58,1.9,23.6,46.4,10.2,17.8,25.5,74.5,
Apr,4,3352,1899,57,1.8,27.1,42.1,17.8,11.2,28.9,71.1,
May,5,4018,1902,58,2.3,22.8,50.1,15.1,9.8,25.1,74.9,
Jun,6,4862,3020,61,1.7,21.2,49.5,18.7,8.9,22.9,77.1,
Jul,7,5904,3373,63,1.5,18.9,45.7,23.4,10.6,20.4,79.6,
Aug,8,5178,2844,63,1.2,19.9,45.1,22.3,11.5,21.1,78.9,
Sep,9,3996,2152,63,1.2,17.7,45.8,20.9,14.5,18.9,81.1,
Oct,10,3983,2012,63,1.1,26.5,34.8,22.8,14.8,27.6,72.4,
Nov,11,3773,1981,62,0.8,20.7,46.3,17.9,14.3,21.5,78.5,
Dec,12,3796,1843,64,1.8,15.1,44.4,24.4,14.2,16.9,83.1,
