month,month_num,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Jan,1,759,756,734500,775000,2.62,17250,5.04,42890,36.0,65,
Feb,2,1009,998,760750,810000,4.9,33950,6.89,62973,26.6,61,
Mar,3,1368,1351,799000,860000,6.75,50000,8.78,80501,21.1,61,
Apr,4,1625,1610,799506,880000,5.88,45000,7.87,74229,22.5,61,
May,5,1803,1779,800000,885000,6.41,50100,8.56,81933,21.7,59,
Jun,6,1109,1106,789000,840000,5.13,35000,6.72,59575,25.0,56,
Jul,7,784,781,765000,803030,3.51,21000,4.54,32362,35.1,63,
Aug,8,610,610,729945,765000,2.92,20000,4.33,29741,35.6,63,
Sep,9,672,671,764326,800000,3.04,21500,5.12,47904,34.4,63,
Oct,10,827,820,795000,835000,2.08,15000,4.54,40789,39.8,69,
Nov,11,743,740,749900,790000,2.21,15050,4.39,34590,38.0,74,
Dec,12,698,695,699999,725000,1.43,9112,3.07,20121,41.7,72,
