month,month_num,year,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Jan,1,2024,1052,457,650000,669000,1.45,10000,3.45,18639,39.4,77,
Jan,1,2025,1006,567,695000,730000,2.58,16000,4.31,30245,34.2,76,
Jan,1,2026,928,544,729000,750000,1.27,9500,3.35,29754,43.4,77,
Feb,2,2024,929,421,650000,676000,2.07,11000,4.25,27740,39.7,69,
Feb,2,2025,750,435,665000,680000,1.59,10100,3.25,21260,40.0,77,
Feb,2,2026,762,408,725000,750000,0.97,5100,3.57,32378,42.6,79,
Mar,3,2024,1091,544,687000,712500,4.8,27750,5.91,42430,29.2,57,
Mar,3,2025,887,554,707000,760000,4.9,32466,6.79,56951,28.5,58,
Mar,3,2026,940,584,719450,750000,2.91,19550,5.12,46430,35.3,58,
Apr,4,2024,1356,699,699000,737500,5.6,35000,7.43,58236,25.5,57,
Apr,4,2025,1016,622,749000,807500,5.79,41000,7.68,62108,24.3,57,
Apr,4,2026,980,634,744000,777500,4.35,30000,6.3,55845,26.5,58,
May,5,2024,1509,790,707500,775000,7.44,50000,8.52,65985,21.1,61,
May,5,2025,1254,812,772500,825000,5.88,40000,8.05,69853,22.9,56,
May,5,2026,1255,875,785000,850000,5.22,36000,7.49,72279,26.5,58,
Jun,6,2024,1735,930,745000,799450,7.2,50000,8.33,68170,19.2,61,
Jun,6,2025,1468,1008,779450,842500,5.88,43000,7.66,68474,23.4,62,
Jun,6,2026,1659,1181,799000,867500,4.76,35000,6.92,68942,26.8,61,
Jul,7,2023,1887,869,675000,720000,5.38,31000,6.54,46658,22.1,64,
Jul,7,2024,1807,996,749950,802500,6.52,45000,7.49,59477,22.7,64,
Jul,7,2025,1511,1000,799000,850000,5.08,35000,7.07,63206,26.6,63,
Jul,7,2026,699,629,829000,885000,5.19,40001,7.46,75890,25.4,62,
Aug,8,2023,1890,954,700000,750000,5.11,31000,6.33,48441,24.4,64,
Aug,8,2024,1841,1068,749000,800000,5.47,36000,7.08,59467,24.0,63,
Aug,8,2025,1447,951,775000,803030,3.87,25000,5.2,43526,32.1,65,
Sep,9,2023,1416,704,665000,700000,4.01,25000,5.16,35329,28.8,62,
Sep,9,2024,1316,737,699000,750000,4.55,26000,5.56,37534,27.8,65,
Sep,9,2025,1264,794,746500,775000,2.38,15000,3.84,27559,37.3,66,
Oct,10,2023,1376,624,627000,650000,3.17,19000,4.17,24487,32.9,63,
Oct,10,2024,1359,708,690500,725000,3.04,20000,4.49,29468,32.8,66,
Oct,10,2025,1248,806,749000,775000,2.75,17500,4.6,38099,37.1,62,
Nov,11,2023,1286,633,675000,700000,3.23,20000,5.05,33516,33.0,61,
Nov,11,2024,1386,708,699000,740000,3.37,21000,4.94,36138,31.2,62,
Nov,11,2025,1101,712,730000,765000,2.08,15100,4.34,35295,36.8,64,
Dec,12,2023,1238,619,675000,700000,2.77,16000,4.42,28895,36.3,63,
Dec,12,2024,1265,698,699000,735000,2.87,20000,4.42,31175,33.4,63,
Dec,12,2025,1293,808,749450,772500,1.56,10000,4.25,36180,40.8,67,
