month,month_num,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Jan,1,759,756,734500,775000,2.62,17250,5.04,42890,36.0,65,
Feb,2,1009,998,765250,812500,4.9,33950,6.9,63282,26.6,61,
Mar,3,1371,1354,799000,860000,6.69,50000,8.75,80302,21.2,61,
Apr,4,1632,1616,799506,880000,5.88,45000,7.87,74270,22.5,61,
May,5,1834,1810,815000,887500,6.45,50100,8.53,81541,21.8,59,
Jun,6,1188,1185,792000,845000,5.14,35000,6.67,58914,25.1,56,
Jul,7,790,787,769000,805816,3.51,21000,4.55,32467,34.9,62,
Aug,8,610,610,729945,765000,2.92,20000,4.33,29741,35.6,63,
Sep,9,672,671,764326,800000,3.04,21500,5.12,47904,34.4,63,
Oct,10,828,821,795000,835000,2.08,15000,4.54,40740,39.8,69,
Nov,11,744,741,749900,790000,2.2,15001,4.38,34510,38.1,75,
Dec,12,699,696,699999,725000,1.43,9556,3.08,20194,41.7,72,
