month,month_num,year,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Jan,1,2024,1053,455,650000,669000,1.38,10000,3.43,18554,39.6,77,
Jan,1,2025,1007,568,692000,730000,2.6,16000,4.33,30317,34.2,75,
Jan,1,2026,929,545,729000,750000,1.26,9000,3.34,29653,43.5,77,
Feb,2,2024,929,421,650000,676000,2.07,11000,4.25,27740,39.7,69,
Feb,2,2025,750,435,665000,680000,1.59,10100,3.25,21260,40.0,77,
Feb,2,2026,762,408,725000,750000,0.97,5100,3.57,32378,42.6,79,
Mar,3,2024,1091,540,689000,715000,4.8,27750,5.9,42431,29.3,57,
Mar,3,2025,887,554,707000,760000,4.9,32466,6.79,56951,28.5,58,
Mar,3,2026,940,584,719450,750000,2.91,19550,5.12,46430,35.3,58,
Apr,4,2024,1356,697,699000,737500,5.6,35000,7.41,58264,25.4,57,
Apr,4,2025,1017,623,749000,805000,5.78,41000,7.67,62032,24.2,57,
Apr,4,2026,980,634,744000,777500,4.35,30000,6.3,55845,26.5,58,
May,5,2024,1509,787,715000,777000,7.48,50000,8.54,66205,21.0,61,
May,5,2025,1254,812,772500,825000,5.88,40000,8.05,69853,22.9,56,
May,5,2026,1258,878,780000,850000,5.21,36000,7.46,72086,26.7,58,
Jun,6,2024,1735,926,748900,800000,7.18,50000,8.32,68264,19.2,61,
Jun,6,2025,1468,1008,779450,842500,5.88,43000,7.66,68474,23.4,62,
Jun,6,2026,1666,1182,799000,868750,4.75,35000,6.92,69095,26.7,61,
Jul,7,2023,1887,865,675000,720000,5.47,31000,6.57,46901,22.0,64,
Jul,7,2024,1807,994,749950,802500,6.54,45050,7.5,59546,22.7,64,
Jul,7,2025,1511,1000,799000,850000,5.08,35000,7.07,63206,26.6,63,
Jul,7,2026,918,764,827000,883750,5.15,40001,7.17,71498,26.0,62,
Aug,8,2023,1890,953,700000,750000,5.09,31000,6.33,48466,24.4,64,
Aug,8,2024,1841,1066,749000,800000,5.54,36500,7.1,59616,23.8,63,
Aug,8,2025,1448,951,775000,803030,3.87,25000,5.2,43526,32.1,65,
Sep,9,2023,1416,698,675000,703000,4.0,25000,5.14,35355,29.1,62,
Sep,9,2024,1316,735,699000,750000,4.55,26000,5.57,37566,27.8,65,
Sep,9,2025,1264,794,746500,775000,2.38,15000,3.84,27559,37.3,66,
Oct,10,2023,1376,621,629000,650000,3.19,19000,4.19,25072,32.7,64,
Oct,10,2024,1359,706,696950,727500,3.04,20000,4.49,29561,32.7,66,
Oct,10,2025,1248,806,749000,775000,2.75,17500,4.6,38099,37.1,62,
Nov,11,2023,1286,629,675000,700000,3.21,20000,5.01,33392,33.1,61,
Nov,11,2024,1386,704,699900,744000,3.31,21000,4.92,36107,31.4,62,
Nov,11,2025,1101,712,730000,765000,2.08,15100,4.34,35295,36.8,64,
Dec,12,2023,1238,617,679000,705000,2.77,16000,4.41,28891,36.5,63,
Dec,12,2024,1265,696,699000,735000,2.82,19000,4.4,31117,33.5,63,
Dec,12,2025,1293,808,749450,772500,1.56,10000,4.25,36180,40.8,67,
