month,month_num,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Jan,1,2989,1568,689000,715000,1.83,11000,3.72,26673,39.0,77,
Feb,2,2441,1264,689000,700000,1.56,10000,3.69,27007,40.7,76,
Mar,3,2918,1678,699900,745000,4.12,25100,5.92,48617,31.1,58,
Apr,4,3353,1954,725000,765500,5.33,35000,7.14,58680,25.4,57,
May,5,4021,2477,749999,812500,6.06,41000,8.0,69485,23.6,57,
Jun,6,4869,3116,775000,836000,5.95,41000,7.57,68647,23.4,61,
Jul,7,6123,3623,754900,813000,5.51,36100,7.09,60058,24.3,63,
Aug,8,5179,2970,749000,780500,4.75,30000,6.24,50886,26.7,64,
Sep,9,3996,2227,699000,740000,3.61,21100,4.82,33305,31.6,64,
Oct,10,3983,2133,699000,725000,2.97,19250,4.45,31480,34.4,64,
Nov,11,3773,2045,699000,737000,2.9,20000,4.75,34989,33.8,63,
Dec,12,3796,2121,699999,740000,2.38,15000,4.35,32398,37.2,64,
