month,month_num,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Jan,1,1106,1101,700000,755000,2.61,16000,4.88,38829,36.7,65,
Feb,2,1482,1468,749900,800000,5.22,35000,7.18,61577,25.7,60,
Mar,3,1945,1925,789000,850000,6.67,50000,8.49,76798,22.5,59,
Apr,4,2152,2131,799999,880000,6.21,50000,7.93,74222,22.3,65,
May,5,3011,2974,799000,868000,6.77,51000,8.49,77124,20.4,63,
Jun,6,2679,2671,769000,820000,5.45,36600,7.04,57747,24.4,60,
Jul,7,2066,2058,729450,770000,4.31,26000,5.49,40601,28.6,60,
Aug,8,1830,1827,699900,740000,3.43,21000,4.65,30881,31.9,62,
Sep,9,1699,1692,710500,751500,3.62,25000,5.32,42858,30.7,62,
Oct,10,1895,1880,749000,775000,3.0,20000,4.9,38051,35.4,62,
Nov,11,1409,1405,699999,750000,2.57,16000,4.47,33248,36.2,67,
Dec,12,1026,1021,699000,710000,1.17,6000,2.92,18415,43.0,73,
