close_month,month_num,sales_all,n_lag,median_days_list_to_close,pct_listed_same_month,pct_listed_1mo_before,pct_listed_2mo_before,pct_listed_3mo_before,pct_listed_4mo_or_more_before,pct_fresh,pct_aged,thin
Jan,1,2989,1445,77,1.0,11.8,36.6,28.6,21.9,12.9,87.1,
Feb,2,2441,1200,75,2.2,23.9,26.1,20.0,27.8,26.1,73.9,
Mar,3,2918,1615,58,1.9,23.5,46.5,10.3,17.9,25.3,74.7,
Apr,4,3353,1899,57,1.9,27.0,42.1,17.8,11.2,28.9,71.1,
May,5,4021,1906,58,2.4,22.7,49.9,15.3,9.8,25.1,74.9,
Jun,6,4869,3016,61,1.7,21.1,49.6,18.7,8.9,22.8,77.2,
Jul,7,6123,3502,63,1.5,19.0,45.9,23.1,10.5,20.4,79.6,
Aug,8,5179,2842,63,1.2,19.8,45.1,22.4,11.5,21.0,79.0,
Sep,9,3996,2145,63,1.2,17.5,45.8,20.9,14.6,18.7,81.3,
Oct,10,3983,2007,63,1.1,26.5,34.8,22.8,14.8,27.6,72.4,
Nov,11,3773,1974,62,0.8,20.9,46.1,17.9,14.2,21.7,78.3,
Dec,12,3796,1840,64,1.8,15.1,44.5,24.4,14.2,16.8,83.2,
