town,season,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
East Hanover,Spring,33,33,925000,999000,6.49,50000,6.63,64434,24.2,62,
East Hanover,Summer,21,21,795000,875000,5.6,41000,6.4,53300,23.8,54,
East Hanover,Winter,27,27,799990,830000,3.65,35010,4.92,37264,22.2,61,
Edison,Fall,24,24,634950,620000,1.84,15000,2.1,11975,37.5,64,
Edison,Spring,50,50,649500,665000,2.75,10500,3.58,24114,38.0,70,
Edison,Summer,25,25,625000,660000,0.47,5000,1.48,12736,40.0,63,
Edison,Winter,37,37,649000,689000,1.04,4501,1.99,11282,45.9,80,
Elmwood Park,Fall,12,12,662000,732500,5.88,35500,4.35,25433,41.7,60,
Elmwood Park,Spring,11,11,630000,630000,-1.5,-9900,-0.01,-391,81.8,80,
Elmwood Park,Summer,8,8,737500,760000,2.81,21000,3.97,24188,25.0,63,yes
Elmwood Park,Winter,14,14,617450,690000,1.17,10000,2.27,10808,35.7,88,
Essex Fells,Fall,3,3,1750000,1500000,4.04,101000,3.5,17333,33.3,63,yes
Essex Fells,Spring,9,9,1600000,1560000,-2.35,-20000,1.08,-24322,66.7,75,yes
Essex Fells,Summer,7,7,1499000,1500000,-1.75,-25000,-1.53,-47571,71.4,82,yes
Essex Fells,Winter,4,4,1499000,1540000,3.79,51000,2.1,27000,25.0,55,yes
Fairfield,Fall,2,2,779950,769950,-1.51,-10000,-1.51,-10000,100.0,65,yes
Fairfield,Spring,10,10,734450,795500,9.28,62550,9.82,86330,10.0,68,
Fairfield,Summer,20,20,774450,785000,3.62,28000,5.79,45691,25.0,67,
Fairfield,Winter,3,3,1250000,1301260,0.01,100,6.1,67120,33.3,42,yes
Fanwood,Fall,17,17,729000,803000,6.94,54100,7.43,58371,23.5,71,
Fanwood,Spring,41,41,739000,800000,4.87,36000,6.88,52666,24.4,56,
Fanwood,Summer,18,18,699900,785000,8.25,57500,8.15,59156,11.1,50,
Fanwood,Winter,21,21,795000,850000,7.74,66000,7.84,59498,23.8,66,
Florham Park,Fall,16,16,897000,974500,2.41,15500,1.98,19688,31.2,68,
Florham Park,Spring,43,43,899000,999995,3.03,26600,5.19,48328,32.6,55,
Florham Park,Summer,30,30,1114500,1190000,6.64,65734,6.55,62220,26.7,58,
Florham Park,Winter,29,29,999000,1075000,0.03,1000,2.78,15176,48.3,82,
Franklin Lakes,Fall,8,8,1749500,1737500,-0.9,-17000,3.59,50600,62.5,110,yes
Franklin Lakes,Spring,20,20,1639450,1739500,0.35,5550,4.47,37922,45.0,74,
Franklin Lakes,Summer,11,11,1499000,1555000,3.47,40001,6.61,18636,36.4,91,
Franklin Lakes,Winter,12,12,1991950,1887500,-3.34,-22500,-3.86,-117817,75.0,105,
Garwood,Fall,12,12,689450,700000,2.79,18000,2.47,16267,16.7,76,
