month,month_num,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Jan,1,747,744,742500,775000,2.62,20000,5.05,43117,35.9,65,
Feb,2,976,965,759000,810000,5.0,35000,6.94,62957,26.2,60,
Mar,3,1203,1188,792000,847000,6.67,50000,8.75,79314,21.0,58,
Apr,4,1579,1563,799900,882000,6.34,50000,8.22,78110,20.8,61,
May,5,1981,1955,819000,890000,6.3,50000,8.46,81347,22.3,61,
Jun,6,1610,1604,799000,855000,4.93,35000,6.74,60056,26.2,58,
Jul,7,1038,1034,769000,810000,3.4,21000,4.84,36205,33.6,59,
Aug,8,629,629,740000,777000,2.74,19000,4.23,28955,36.4,63,
Sep,9,674,673,764326,800000,3.04,21500,5.11,47808,34.3,63,
Oct,10,828,821,795000,835000,2.08,15000,4.54,40745,39.8,69,
Nov,11,746,743,749900,790000,2.2,15000,4.39,35212,38.0,75,
Dec,12,699,696,699900,720000,1.43,9556,3.04,20018,41.7,72,
