close_month,month_num,sales_all,n_lag,median_days_list_to_close,pct_listed_same_month,pct_listed_1mo_before,pct_listed_2mo_before,pct_listed_3mo_before,pct_listed_4mo_or_more_before,pct_fresh,pct_aged,thin
Jan,1,2996,1449,77,1.0,11.9,36.6,28.5,22.0,12.9,87.1,
Feb,2,2444,1188,74,2.2,23.9,26.2,19.8,27.9,26.1,73.9,
Mar,3,2941,1605,58,1.9,23.4,46.7,10.3,17.8,25.2,74.8,
Apr,4,3370,1883,57,1.9,26.9,42.3,17.7,11.1,28.8,71.2,
May,5,4055,1613,55,2.8,26.7,50.1,12.3,8.2,29.4,70.6,
Jun,6,4887,3019,61,1.7,21.1,49.5,18.7,8.9,22.9,77.1,
Jul,7,6955,3967,63,1.5,20.4,45.0,22.9,10.2,21.8,78.2,
Aug,8,5726,3336,63,1.2,17.7,45.9,23.2,12.1,18.9,81.1,
Sep,9,4005,2146,63,1.2,17.5,45.9,20.9,14.5,18.7,81.3,
Oct,10,3991,2011,63,1.1,26.5,34.9,22.7,14.9,27.5,72.5,
Nov,11,3783,1981,62,0.8,20.9,46.1,18.0,14.2,21.8,78.2,
Dec,12,3807,1843,64,1.8,15.1,44.5,24.4,14.2,16.9,83.1,
