month,month_num,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Jan,1,2996,1573,689000,715000,1.84,11000,3.73,26680,38.9,77,
Feb,2,2444,1264,689000,700000,1.56,10000,3.68,26997,40.7,76,
Mar,3,2941,1681,699900,745000,4.1,25100,5.92,48688,31.2,58,
Apr,4,3370,1955,725000,765000,5.33,35000,7.14,58813,25.3,57,
May,5,4055,2485,749900,810000,6.06,41000,7.99,69231,23.6,55,
Jun,6,4887,3121,775000,835000,5.94,41000,7.56,68507,23.5,61,
Jul,7,6955,4090,769000,820324,5.18,35100,6.94,59132,25.3,64,
Aug,8,5726,3468,750000,800000,4.58,30000,6.26,52428,27.4,64,
Sep,9,4005,2228,699000,740000,3.61,21000,4.81,33276,31.6,64,
Oct,10,3991,2138,699000,725000,2.96,19000,4.44,31433,34.4,64,
Nov,11,3783,2052,699000,735004,2.9,20000,4.75,34984,33.8,63,
Dec,12,3807,2123,699999,740000,2.38,15000,4.33,32365,37.1,64,
