month,month_num,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Jan,1,1091,1086,714950,760000,2.62,17000,4.9,38995,36.6,65,
Feb,2,1449,1435,749000,800000,5.26,35000,7.21,61319,25.4,59,
Mar,3,1777,1759,785000,845000,6.56,49650,8.48,75926,22.5,58,
Apr,4,2096,2075,800000,885000,6.53,50001,8.19,77149,21.0,65,
May,5,3154,3115,799000,870000,6.68,50100,8.44,77205,20.9,64,
Jun,6,3099,3088,779950,830000,5.33,36000,7.05,58585,25.0,61,
Jul,7,2313,2304,739000,775000,4.17,26000,5.53,41465,28.6,59,
Aug,8,1847,1844,699900,741000,3.38,21000,4.62,30569,32.2,62,
Sep,9,1703,1696,713000,751500,3.59,25000,5.32,42814,30.7,62,
Oct,10,1896,1881,749000,775000,3.02,20000,4.91,38124,35.4,62,
Nov,11,1411,1407,699999,750000,2.57,16000,4.47,33621,36.1,67,
Dec,12,1026,1021,692999,705000,1.17,6000,2.89,18295,43.0,73,
