town,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Basking Ridge,557,435,839900,865000,2.86,20000,3.96,35011,31.7,62,
Bedminster,294,217,485000,495000,2.3,10001,3.04,11705,33.6,54,
Berkeley Heights,251,197,829000,888000,6.31,50000,7.25,64816,24.9,57,
Bernardsville,178,120,962500,1050000,3.25,25500,2.88,1982,40.0,62,
Boonton,309,195,675000,715000,2.4,16000,4.25,27237,33.3,64,
Branchburg,400,300,599000,612500,1.81,10000,2.6,15753,39.7,61,
Bridgewater,668,514,650000,695000,2.42,15050,3.45,23100,35.2,61,
Caldwell,440,233,750000,815000,5.53,40000,7.61,58973,26.6,62,
Cedar Grove,253,130,749000,800000,9.26,65100,8.53,59072,16.2,58,
Cedar Knolls,57,41,735000,765000,5.15,35100,5.93,47399,22.0,62,
Chatham,469,316,1337000,1575000,6.13,77000,8.55,111220,26.9,61,
Chester,205,140,924950,937500,2.04,20050,2.68,17436,40.7,68,
Clark,253,137,700000,739999,2.94,20100,2.63,15463,29.2,63,
Colonia,285,215,600000,635000,2.52,15000,3.39,19646,32.1,71,
Cranford,395,269,750000,800000,5.11,36000,6.38,47662,24.5,56,
Denville,498,300,650000,686250,3.79,25000,4.54,29271,31.7,59,
East Hanover,335,118,829000,880000,4.87,39100,5.83,49757,22.0,61,
Edison,1305,942,599000,610000,0.64,3750,1.73,9994,45.3,72,
Elmwood Park,183,51,630000,640000,1.12,10000,2.38,12014,47.1,69,
Essex Fells,50,27,1562500,1505000,-1.18,-10000,0.28,-29219,59.3,67,
Fairfield,115,39,749900,810999,3.72,30000,6.01,50989,30.8,65,
Fanwood,142,115,749000,805000,6.39,45000,7.01,53850,24.3,58,
Florham Park,224,136,1049450,1087500,3.18,25500,4.23,37264,36.0,58,
Franklin Lakes,177,54,1704000,1775000,0.0,0,2.44,-8066,53.7,95,
Garwood,90,58,679000,700000,3.52,23000,2.98,20788,29.3,62,
Gillette,80,56,649750,692500,1.98,15500,3.6,29811,41.1,66,
Glen Ridge,171,126,899450,1162500,22.12,226000,20.74,225741,10.3,58,
Glen Rock,187,73,939000,1081000,10.55,100999,11.37,106943,13.7,59,
Green Brook,313,214,552500,569450,0.84,5000,2.11,9996,43.9,68,
Hanover Township,178,89,675000,705000,3.64,26000,6.06,38430,29.2,53,
Livingston,676,372,1100000,1200000,1.57,15944,4.66,42468,41.7,67,
Long Valley,227,166,727000,750000,2.96,17300,2.77,16988,33.7,63,
Madison,287,193,1150000,1300000,6.18,61000,8.66,94400,26.9,63,
Maplewood,534,395,879000,1060000,10.91,101000,13.92,132705,16.7,54,
Martinsville,82,61,839000,855000,1.64,19100,2.94,17996,39.3,62,
Mendham,243,202,1149000,1150000,0.0,0,2.32,13899,51.5,68,
Metuchen,317,224,692000,715500,3.71,24500,5.09,39413,29.5,60,
Millburn,158,100,1295000,1412000,6.25,50500,6.91,75907,32.0,62,
Millington,56,45,849000,875000,4.0,26000,4.5,41907,26.7,62,
Montclair,763,460,999000,1216000,16.96,168500,17.29,197856,17.2,59,
Montville,247,161,769000,793000,3.76,30100,4.12,32722,30.4,70,
Morris Plains,446,265,719000,735000,2.56,16000,4.64,34203,31.7,60,
Morristown,861,535,800000,865000,3.81,28000,5.37,48941,33.8,63,
Mountain Lakes,95,74,1192000,1200000,2.34,26000,5.53,55685,41.9,80,
Mountainside,118,85,969000,1040008,3.43,45000,6.31,63825,32.9,66,
New Providence,221,179,899000,999999,8.95,76000,9.41,94119,21.8,56,
North Haledon,305,160,649950,670000,2.13,15000,3.66,22244,32.5,71,
Nutley,497,266,622400,657750,3.38,18500,4.65,27345,30.1,66,
Parsippany-Troy Hills,454,257,674900,690000,3.9,25000,4.32,26840,32.3,57,
Pompton Lakes,230,139,499900,530000,3.97,17600,4.67,22903,30.9,67,
Pompton Plains,150,94,649900,680000,2.52,19000,3.15,16959,33.0,64,
Randolph,465,322,769900,819052,3.12,25000,4.66,36088,31.4,64,
Roseland,112,49,759000,770000,4.57,40001,6.14,48094,26.5,62,
Scotch Plains,431,310,875000,921000,4.55,34950,6.51,61089,29.4,62,
Short Hills,279,219,2295000,2415000,2.7,50000,5.19,86691,43.4,70,
South Orange,333,245,975000,1125000,10.39,96000,12.31,129074,17.1,61,
South Plainfield,344,240,559450,577500,1.84,11000,2.94,16710,30.4,70,
Springfield,301,201,649000,675000,4.0,22000,4.91,32647,26.9,62,
Stirling,40,29,699000,715000,5.13,36000,5.7,41128,24.1,56,
Summit,451,334,1362500,1512000,8.36,103500,9.8,134130,26.6,59,
Totowa,175,78,629500,669500,3.25,20100,3.21,14583,28.2,71,
Towaco,107,77,779000,785000,1.64,16000,4.1,44296,36.4,64,
Verona,316,215,679000,790000,6.84,42000,9.74,75603,27.9,61,
Warren,407,232,1199450,1200000,0.0,0,0.88,1549,59.9,76,
Watchung,115,83,999900,1125000,1.97,20000,2.67,22131,45.8,66,
Wayne,897,608,699906,749000,4.48,30100,5.68,42740,24.2,65,
West Orange,953,589,638000,680000,7.27,41000,8.31,56554,21.2,62,
Westfield,615,477,1185000,1300031,6.84,74999,8.49,92306,22.4,56,
Woodbridge,354,264,450000,465000,1.83,8000,3.07,13710,36.7,69,
Woodland Park,464,230,599000,625000,3.25,18500,4.14,24075,31.7,62,
