month,month_num,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Jan,1,1094,1089,715000,760000,2.6,17000,4.9,39015,36.5,65,
Feb,2,1456,1442,749000,800000,5.25,35000,7.18,61036,25.6,59,
Mar,3,1789,1771,779999,840000,6.67,50000,8.48,75846,22.5,57,
Apr,4,2106,2085,800000,885000,6.61,50050,8.21,77279,20.9,65,
May,5,3205,3166,799000,872000,6.67,50001,8.36,76500,20.9,64,
Jun,6,3251,3240,789000,838440,5.28,36000,7.04,59082,25.2,62,
Jul,7,2709,2698,749000,780000,4.19,26000,5.54,42473,29.0,59,
Aug,8,1957,1954,700000,750000,3.37,21000,4.62,30930,32.3,62,
Sep,9,1722,1715,711000,751000,3.64,25000,5.36,43097,30.5,62,
Oct,10,1914,1899,749000,773063,3.04,20000,4.94,38148,35.2,62,
Nov,11,1418,1414,699999,750000,2.57,15572,4.47,33488,36.1,67,
Dec,12,1027,1022,694000,707000,1.17,6000,2.89,18281,43.0,73,
