month,month_num,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Jan,1,3000,1582,689000,715000,1.84,11000,3.72,26571,38.9,77,
Feb,2,2449,1264,689000,700000,1.56,10000,3.65,26805,40.8,76,
Mar,3,2944,1692,699900,745000,4.03,25050,5.88,48196,31.3,58,
Apr,4,3374,1963,725000,765000,5.33,35000,7.14,58727,25.3,57,
May,5,4067,2501,749900,810000,6.06,40500,7.98,69078,23.6,55,
Jun,6,4913,3133,775000,835000,5.93,41000,7.54,68274,23.6,61,
Jul,7,6994,4101,769000,820000,5.18,35100,6.95,59164,25.3,64,
Aug,8,6738,4079,755000,802000,4.35,30000,6.09,51640,28.5,65,
Sep,9,4181,2412,699900,750000,3.64,22000,4.85,34155,31.5,64,
Oct,10,4001,2154,699000,725000,3.03,20000,4.49,31765,34.2,64,
Nov,11,3795,2073,699000,735000,3.0,20000,4.79,35154,33.6,63,
Dec,12,3812,2133,699990,740000,2.39,15000,4.35,32474,37.0,64,
