close_month,month_num,sales_all,n_lag,median_days_list_to_close,pct_listed_same_month,pct_listed_1mo_before,pct_listed_2mo_before,pct_listed_3mo_before,pct_listed_4mo_or_more_before,pct_fresh,pct_aged,thin
Jan,1,3000,1457,77,1.0,11.8,36.6,28.6,22.0,12.8,87.2,
Feb,2,2449,1187,75,2.2,23.8,26.2,19.9,27.9,26.0,74.0,
Mar,3,2944,1616,58,1.9,23.5,46.6,10.2,17.8,25.4,74.6,
Apr,4,3374,1890,57,1.9,27.0,42.3,17.6,11.1,28.9,71.1,
May,5,4067,1612,55,2.7,26.7,50.2,12.2,8.3,29.3,70.7,
Jun,6,4913,3029,61,1.7,21.2,49.6,18.8,8.8,22.8,77.2,
Jul,7,6994,3977,63,1.5,20.4,44.9,23.0,10.2,21.9,78.1,
Aug,8,6738,3937,64,1.2,19.0,45.7,22.3,11.7,20.3,79.7,
Sep,9,4181,2327,63,1.2,16.4,45.9,21.8,14.7,17.6,82.4,
Oct,10,4001,2027,63,1.1,26.6,34.9,22.6,14.8,27.7,72.3,
Nov,11,3795,2001,62,0.8,20.7,46.3,17.9,14.2,21.5,78.5,
Dec,12,3812,1850,64,1.8,15.2,44.4,24.4,14.2,17.0,83.0,
