month,month_num,year,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Jan,1,2024,1053,460,650000,669500,1.42,10000,3.43,18515,39.3,77,
Jan,1,2025,1016,575,695000,730000,2.58,16000,4.3,30116,34.4,76,
Jan,1,2026,931,547,729000,750000,1.28,10000,3.34,29620,43.3,77,
Feb,2,2024,931,419,659000,680000,2.07,11000,4.18,27302,39.6,69,
Feb,2,2025,753,435,665000,680000,1.59,10100,3.25,21260,40.0,77,
Feb,2,2026,765,410,725000,750000,0.93,5050,3.54,32181,42.9,79,
Mar,3,2024,1096,550,691500,715500,4.71,26000,5.77,41020,29.8,57,
Mar,3,2025,891,556,716500,760000,4.9,32466,6.81,57377,28.4,58,
Mar,3,2026,957,586,718940,750000,2.85,18850,5.09,46221,35.5,59,
Apr,4,2024,1359,701,699000,737500,5.63,35000,7.46,58402,25.2,57,
Apr,4,2025,1019,625,749000,810000,5.78,41000,7.68,62269,24.2,57,
Apr,4,2026,996,637,739000,775000,4.35,30000,6.27,55608,26.5,58,
May,5,2024,1514,801,700000,775000,7.48,50000,8.55,66052,20.8,61,
May,5,2025,1258,813,770000,825000,5.91,40000,8.06,69892,22.9,56,
May,5,2026,1295,887,775000,840000,5.11,35000,7.4,71065,26.8,50,
Jun,6,2024,1742,930,745000,799450,7.13,50000,8.27,67583,19.4,61,
Jun,6,2025,1477,1012,779450,842500,5.86,43000,7.65,68361,23.4,62,
Jun,6,2026,1694,1191,799000,865000,4.67,35000,6.88,68741,27.0,61,
Jul,7,2023,1888,846,675000,725000,5.37,32000,6.58,47332,22.2,64,
Jul,7,2024,1817,1005,749900,800000,6.52,45000,7.52,59704,22.7,63,
Jul,7,2025,1521,1005,799000,850000,5.07,35000,7.04,62907,26.9,63,
Jul,7,2026,1768,1245,815000,875000,4.29,31000,6.66,63747,28.2,65,
Aug,8,2023,1900,950,700000,750000,5.11,31000,6.34,48606,24.3,64,
Aug,8,2024,1850,1077,749000,800000,5.58,36000,7.09,59639,23.9,63,
Aug,8,2025,1455,956,775000,802388,3.87,25000,5.21,43629,31.9,65,
Aug,8,2026,1533,1096,799900,850000,3.21,25000,5.65,53396,33.7,67,
Sep,9,2023,1419,710,665000,700000,4.14,25000,5.19,35272,28.7,62,
Sep,9,2024,1325,737,699000,750000,4.5,26000,5.5,36670,28.0,65,
Sep,9,2025,1271,799,745000,775000,2.42,15000,3.83,27469,37.2,67,
Sep,9,2026,166,166,789000,843500,3.28,26000,5.45,50384,31.9,66,
Oct,10,2023,1384,630,625000,650000,3.21,19000,4.21,25143,32.5,63,
Oct,10,2024,1365,716,693500,727500,3.12,20000,4.56,30177,32.4,66,
Oct,10,2025,1252,808,749000,775000,2.75,17500,4.63,38334,37.0,62,
Nov,11,2023,1292,635,675000,700000,3.24,20100,5.14,34083,32.8,61,
Nov,11,2024,1393,718,699000,740000,3.42,22050,4.97,36387,31.1,62,
Nov,11,2025,1110,720,725000,765000,2.07,15100,4.29,34870,36.9,64,
Dec,12,2023,1244,622,682000,707500,2.84,16000,4.43,29325,36.0,63,
Dec,12,2024,1269,701,699000,735000,2.86,20000,4.39,31081,33.5,63,
Dec,12,2025,1299,810,749450,772500,1.56,10000,4.24,36098,40.7,67,
