town,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Basking Ridge,590,457,839000,863652,2.86,20000,3.96,35257,31.5,63,
Bedminster,307,224,485000,497500,2.35,10550,3.1,12206,33.0,54,
Berkeley Heights,266,209,830000,890000,6.31,50000,7.37,67104,24.4,58,
Bernardsville,186,125,975000,1050000,2.9,20001,2.7,594,41.6,62,
Boonton,333,212,684950,725000,2.42,16000,4.1,26259,33.0,65,
Branchburg,432,322,594000,605000,1.94,10300,2.65,16074,39.8,61,
Bridgewater,732,559,650000,695000,2.19,15000,3.28,22078,36.5,61,
Caldwell,463,244,764000,820000,5.4,36000,7.32,56852,27.9,62,
Cedar Grove,274,140,749000,799545,9.37,65550,8.86,61746,15.0,59,
Cedar Knolls,58,42,729750,750000,4.96,35050,5.88,46865,21.4,63,
Chatham,497,335,1349000,1550618,6.12,75000,8.42,108555,27.8,61,
Chester,221,155,949000,975000,2.12,20000,2.76,18746,40.6,69,
Clark,264,147,700000,739999,2.88,20100,2.64,16128,28.6,63,
Colonia,311,234,615000,637500,2.58,15222,3.46,21128,31.6,72,
Cranford,418,282,759000,810500,5.09,36000,6.37,48263,24.8,56,
Denville,524,319,669900,699800,3.42,25000,4.35,27888,33.2,61,
East Hanover,353,126,834000,882500,4.87,39100,5.78,50044,23.0,62,
Edison,1397,1010,599900,615000,0.47,2000,1.64,9609,45.9,72,
Elmwood Park,191,56,634950,645000,1.17,10000,2.54,13156,46.4,71,
Essex Fells,51,27,1562500,1505000,-1.18,-10000,0.28,-29219,59.3,67,
Fairfield,125,41,799000,835000,3.72,30100,6.24,53651,29.3,67,
Fanwood,151,119,749000,805000,6.01,44700,6.9,53073,23.5,58,
Florham Park,240,146,1024000,1073000,2.55,25000,4.18,36616,37.7,59,
Franklin Lakes,196,60,1664000,1727000,0.0,0,1.66,-16017,58.3,98,
Garwood,99,65,679000,700000,3.71,25000,3.34,23454,27.7,61,
Gillette,84,59,649999,700000,1.82,15000,3.33,27787,42.4,68,
Glen Ridge,182,131,899900,1190000,22.07,226000,20.64,224201,10.7,58,
Glen Rock,207,81,949000,1100000,9.92,97000,10.8,102529,17.3,59,
Green Brook,328,219,559000,570000,0.88,5000,2.11,10056,42.9,68,
Hanover Township,189,96,682500,707450,3.63,26000,6.05,39067,28.1,52,
Livingston,721,403,1090000,1170000,1.46,15000,4.51,40918,42.2,66,
Long Valley,243,178,735000,756000,3.37,20000,2.91,18375,32.6,63,
Madison,304,205,1195000,1310000,6.23,62000,8.6,93857,27.3,63,
Maplewood,564,418,879000,1060000,10.5,95500,13.58,129800,17.7,55,
Martinsville,85,63,839000,855000,1.64,19100,2.85,16996,39.7,62,
Mendham,254,211,1150000,1160000,0.0,0,2.43,15221,51.2,69,
Metuchen,335,236,698500,721500,3.78,25000,5.19,40689,30.1,60,
Millburn,163,103,1295000,1410000,6.29,51000,6.87,75036,32.0,62,
Millington,61,50,839000,866000,4.63,31500,5.35,47238,24.0,54,
Montclair,806,484,1012500,1225000,16.96,168500,17.4,199462,16.7,59,
Montville,266,175,769900,805816,4.19,32600,4.54,36796,28.0,70,
Morris Plains,469,279,700000,734006,2.7,16000,4.76,34336,31.5,60,
Morristown,917,570,800000,865000,3.94,31000,5.52,50771,33.0,64,
Mountain Lakes,106,83,1199000,1200000,2.05,20000,4.97,50691,42.2,80,
Mountainside,132,94,959500,1022625,2.79,27500,5.23,49470,37.2,65,
New Providence,234,188,899450,999999,8.9,78500,9.45,94113,21.3,56,
North Haledon,328,172,649950,670000,2.13,15000,3.74,22661,33.7,71,
Nutley,531,278,629450,663500,3.48,20000,4.71,27990,29.5,66,
Parsippany-Troy Hills,485,278,675000,695000,3.95,25000,4.34,27221,32.4,59,
Pompton Lakes,246,149,499900,530000,3.88,17500,4.63,22669,30.2,66,
Pompton Plains,157,100,649900,664500,2.91,20000,3.22,17906,33.0,64,
Randolph,501,344,772000,820824,3.01,25000,4.51,35394,32.3,64,
Roseland,123,55,759999,815000,4.59,40001,6.31,49558,27.3,62,
Scotch Plains,463,331,849000,905000,4.07,30000,6.3,58825,30.8,62,
Short Hills,299,233,2295000,2415000,2.7,50000,5.28,88409,42.9,70,
South Orange,352,258,975000,1109000,10.22,92500,12.13,127082,18.6,62,
South Plainfield,366,257,559900,580000,1.78,10100,2.9,16544,31.5,70,
Springfield,323,217,648000,680000,4.01,23100,4.99,33334,26.7,63,
Stirling,43,32,687000,697500,4.37,28500,4.24,39066,25.0,57,
Summit,471,347,1375000,1525000,8.74,105000,9.96,136332,26.2,59,
Totowa,183,83,630000,678000,3.39,20100,3.31,15585,27.7,71,
Towaco,117,84,764500,792500,1.62,15550,4.34,46475,35.7,64,
Verona,342,229,685000,800000,6.86,45001,9.79,76428,27.1,61,
Warren,423,243,1200000,1220000,0.0,0,0.9,1997,59.3,76,
Watchung,123,89,999999,1123000,1.0,10100,2.38,19474,48.3,70,
Wayne,949,640,699900,748500,4.54,30100,5.68,42983,24.5,65,
West Orange,1015,631,639000,680000,7.29,45000,8.28,56533,21.1,62,
Westfield,645,499,1185000,1300031,6.67,70001,8.29,90815,23.2,57,
Woodbridge,365,275,450000,465000,1.69,7000,2.98,13239,38.2,69,
Woodland Park,501,245,599000,625000,3.21,16000,4.13,23865,31.8,63,
