town,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Basking Ridge,572,446,838250,861826,2.86,20000,3.92,34741,31.8,63,
Bedminster,297,219,485000,495000,2.3,10001,3.05,11763,33.3,54,
Berkeley Heights,258,202,834500,890000,6.28,50000,7.34,66365,24.8,58,
Bernardsville,181,122,985000,1067500,2.96,22500,2.78,761,41.0,62,
Boonton,318,201,679000,720000,2.44,16000,4.26,27524,32.8,65,
Branchburg,417,310,598500,605000,1.92,10000,2.64,15844,39.7,61,
Bridgewater,691,527,650000,695000,2.27,15000,3.37,22510,36.2,61,
Caldwell,449,236,754500,815000,5.51,38000,7.49,58287,27.1,62,
Cedar Grove,260,132,749000,800000,9.33,65100,8.59,59609,15.9,58,
Cedar Knolls,57,41,735000,765000,5.15,35100,5.93,47399,22.0,62,
Chatham,481,325,1325000,1575000,6.24,80000,8.6,111555,27.1,61,
Chester,213,147,925000,950000,2.12,20000,2.64,17334,40.8,69,
Clark,257,140,709500,745000,3.07,20550,2.67,16130,29.3,63,
Colonia,295,220,607500,635000,2.77,15722,3.46,20127,31.4,71,
Cranford,404,274,752500,807500,5.3,37550,6.5,49044,24.1,56,
Denville,508,308,650000,686250,3.69,25000,4.49,28901,32.1,60,
East Hanover,342,123,849000,899000,4.95,40100,5.78,50263,22.8,62,
Edison,1340,967,599888,610000,0.61,3000,1.69,9867,45.5,72,
Elmwood Park,187,54,634950,645000,1.02,7500,2.27,11291,48.1,71,
Essex Fells,51,27,1562500,1505000,-1.18,-10000,0.28,-29219,59.3,67,
Fairfield,120,40,774450,823000,3.62,30050,5.94,50467,30.0,67,
Fanwood,148,118,749000,805000,6.2,44850,6.95,53515,23.7,58,
Florham Park,233,143,999000,1071000,2.71,25000,4.31,37664,36.4,58,
Franklin Lakes,184,55,1699999,1750000,0.0,0,2.35,-8828,54.5,92,
Garwood,93,61,689000,700000,3.83,25000,3.32,23635,27.9,62,
Gillette,81,57,649500,685000,1.82,15000,3.46,28850,42.1,65,
Glen Ridge,174,128,924450,1187500,22.12,226000,20.75,226394,10.2,58,
Glen Rock,197,78,945000,1092500,9.78,94500,10.71,100909,16.7,59,
Green Brook,321,216,552500,569450,0.87,5000,2.1,9978,43.5,68,
Hanover Township,182,92,682500,712450,4.1,26000,6.29,40527,28.3,53,
Livingston,694,385,1090000,1180000,1.78,20000,4.71,43011,41.3,67,
Long Valley,235,171,729000,750000,3.19,18000,2.81,17384,33.3,63,
Madison,296,198,1175000,1305000,6.45,61500,8.75,95625,26.8,62,
Maplewood,540,398,879000,1060000,10.96,101000,13.93,133162,16.6,55,
Martinsville,84,62,839000,865000,1.36,14050,2.83,16818,40.3,62,
Mendham,246,205,1149000,1150000,0.0,0,2.24,13212,52.2,69,
Metuchen,326,230,696500,719000,3.71,24500,5.2,40564,30.0,60,
Millburn,160,101,1295000,1410000,6.29,51000,6.96,76472,31.7,62,
Millington,58,47,849000,875000,4.52,28000,5.09,46528,25.5,57,
Montclair,778,471,999999,1225000,16.91,170000,17.3,198450,17.0,59,
Montville,257,170,769450,799408,3.95,30908,4.41,35644,28.8,70,
Morris Plains,455,267,715000,735000,2.56,16000,4.65,34056,31.8,60,
Morristown,886,548,800000,863000,3.83,30000,5.41,49487,33.8,64,
Mountain Lakes,101,79,1199000,1215000,2.22,24000,5.38,55347,41.8,80,
Mountainside,124,89,969000,1040008,3.17,30100,5.61,53237,36.0,66,
New Providence,226,183,899000,999999,8.86,76000,9.31,93018,21.9,56,
North Haledon,318,168,649950,670000,2.02,13000,3.65,22110,33.9,71,
Nutley,508,270,627000,659000,3.42,19500,4.66,27488,29.6,66,
Parsippany-Troy Hills,462,261,675000,695000,3.9,25000,4.28,26586,32.2,57,
Pompton Lakes,239,145,499999,535000,3.68,16838,4.53,22270,31.0,66,
Pompton Plains,153,97,649900,690000,3.09,20001,3.33,18405,32.0,63,
Randolph,476,330,769950,820324,3.12,25000,4.62,35883,31.8,64,
Roseland,116,52,757000,772500,4.58,39500,6.04,47223,26.9,61,
Scotch Plains,448,321,875000,910000,4.36,30100,6.38,59682,30.2,62,
Short Hills,287,224,2295000,2415000,2.73,50000,5.26,87818,43.3,70,
South Orange,338,249,975000,1123000,10.27,95000,12.25,128301,17.7,61,
South Plainfield,352,247,559000,580000,1.78,10100,2.9,16549,31.6,70,
Springfield,310,207,649000,675000,4.0,22000,4.93,32832,26.6,62,
Stirling,41,30,687000,697500,4.37,28500,4.22,39124,26.7,57,
Summit,457,338,1362500,1512000,8.36,103500,9.78,133495,26.9,59,
Totowa,180,81,629000,661000,3.35,20100,3.21,14699,28.4,72,
Towaco,111,80,764500,780000,1.62,15550,4.09,43472,36.2,64,
Verona,327,221,679000,790000,6.68,41000,9.65,75158,28.1,61,
Warren,415,236,1199450,1200000,0.0,0,0.95,2433,59.3,76,
Watchung,118,85,999900,1125000,1.6,16990,2.6,21610,47.1,66,
Wayne,919,621,699900,748000,4.46,30100,5.62,42472,24.6,65,
West Orange,977,604,638500,681250,7.29,45000,8.31,56602,21.0,62,
Westfield,630,487,1187000,1305000,6.82,70100,8.43,92118,23.0,56,
Woodbridge,355,265,449999,465000,1.79,8000,3.06,13658,37.0,69,
Woodland Park,482,235,599000,625000,3.41,20001,4.2,24419,31.5,62,
