month,month_num,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Jan,1,747,744,742500,775000,2.62,20000,5.06,43148,35.9,65,
Feb,2,977,966,759000,810000,5.0,35000,6.94,62949,26.2,60,
Mar,3,1205,1190,795000,849500,6.67,50000,8.76,79689,21.0,58,
Apr,4,1585,1569,799900,882000,6.38,50000,8.23,78313,20.7,61,
May,5,2007,1981,819000,895000,6.25,50000,8.42,80991,22.4,62,
Jun,6,1695,1689,799000,855000,4.92,35000,6.75,60512,26.6,60,
Jul,7,1229,1223,774900,814000,3.35,21000,4.84,37164,34.2,58,
Aug,8,650,650,749000,780000,2.76,20000,4.23,29288,36.3,63,
Sep,9,675,674,764663,800000,3.04,21750,5.12,47866,34.3,63,
Oct,10,828,821,795000,835000,2.08,15000,4.54,40745,39.8,69,
Nov,11,747,744,749900,790000,2.2,15000,4.38,35145,38.0,75,
Dec,12,699,696,699900,720000,1.43,9556,3.04,20018,41.7,72,
