month,month_num,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Jan,1,1090,1085,715000,760000,2.61,17000,4.91,39038,36.6,65,
Feb,2,1450,1436,749000,800000,5.26,35000,7.21,61342,25.4,59,
Mar,3,1780,1762,785000,847000,6.57,50000,8.49,76179,22.4,58,
Apr,4,2102,2081,800000,885000,6.55,50050,8.2,77305,21.0,65,
May,5,3180,3141,799000,875000,6.67,50100,8.4,76930,20.9,64,
Jun,6,3183,3172,785000,833500,5.26,36000,7.04,58806,25.3,62,
Jul,7,2505,2494,746000,777888,4.13,25888,5.48,41528,29.2,58,
Aug,8,1866,1863,699999,749000,3.37,21000,4.6,30511,32.3,62,
Sep,9,1703,1696,715000,752288,3.6,25000,5.33,42891,30.7,62,
Oct,10,1898,1883,749000,775000,3.02,20000,4.91,38100,35.4,62,
Nov,11,1411,1407,699999,750000,2.57,15143,4.46,33485,36.2,67,
Dec,12,1026,1021,692999,705000,1.17,6000,2.89,18295,43.0,73,
