close_month,month_num,sales_all,n_lag,median_days_list_to_close,pct_listed_same_month,pct_listed_1mo_before,pct_listed_2mo_before,pct_listed_3mo_before,pct_listed_4mo_or_more_before,pct_fresh,pct_aged,thin
Jan,1,2998,1451,77,1.0,11.9,36.6,28.5,22.0,12.9,87.1,
Feb,2,2446,1185,74,2.2,23.9,26.2,19.8,27.8,26.1,73.9,
Mar,3,2944,1606,58,1.9,23.4,46.6,10.3,17.8,25.3,74.7,
Apr,4,3374,1886,57,2.0,26.9,42.4,17.7,11.1,28.8,71.2,
May,5,4066,1613,55,2.8,26.7,50.1,12.3,8.2,29.4,70.6,
Jun,6,4901,3019,61,1.8,21.1,49.5,18.8,8.8,22.9,77.1,
Jul,7,6990,3967,63,1.5,20.4,45.0,22.9,10.2,21.8,78.2,
Aug,8,6293,3695,64,1.2,18.2,45.7,22.9,11.9,19.4,80.6,
Sep,9,4013,2143,63,1.2,17.4,45.9,21.0,14.6,18.6,81.4,
Oct,10,4000,2012,63,1.1,26.4,34.8,22.7,14.9,27.5,72.5,
Nov,11,3793,1982,62,0.8,20.9,46.1,18.0,14.2,21.7,78.3,
Dec,12,3808,1845,64,1.8,15.1,44.5,24.4,14.3,16.9,83.1,
