month,month_num,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Jan,1,908,903,749000,790000,2.74,18100,5.14,42785,36.7,65,
Feb,2,1232,1219,775000,827000,5.33,35100,7.56,66324,25.9,59,
Mar,3,1626,1607,815000,885000,6.96,51000,8.95,82415,22.3,59,
Apr,4,1767,1748,830500,905400,6.61,50026,8.34,79935,22.3,64,
May,5,2466,2431,800000,898000,7.0,51000,8.8,82435,19.9,62,
Jun,6,2055,2047,785000,840000,5.77,40000,7.31,61105,24.3,61,
Jul,7,1693,1685,749000,791000,4.2,26000,5.59,42625,29.1,61,
Aug,8,1465,1462,712500,750500,3.52,24108,4.82,32855,31.7,61,
Sep,9,1396,1389,735000,775000,3.73,26000,5.64,47062,30.2,61,
Oct,10,1565,1550,766500,815000,3.08,20100,5.18,40595,35.0,62,
Nov,11,1160,1157,725000,770000,2.73,17500,4.77,36552,35.6,66,
Dec,12,821,817,699000,715000,1.0,6000,2.9,19155,44.8,73,
