close_month,month_num,sales_all,n_lag,median_days_list_to_close,pct_listed_same_month,pct_listed_1mo_before,pct_listed_2mo_before,pct_listed_3mo_before,pct_listed_4mo_or_more_before,pct_fresh,pct_aged,thin
Jan,1,2384,1197,77,1.1,11.2,36.8,29.2,21.7,12.3,87.7,
Feb,2,1961,1016,74,2.1,25.0,25.1,19.7,28.1,27.1,72.9,
Mar,3,2382,1336,57,1.9,24.1,45.7,10.1,18.1,26.0,74.0,
Apr,4,2739,1589,56,1.9,26.7,42.0,18.0,11.3,28.6,71.4,
May,5,3302,1599,58,2.6,23.1,50.0,15.1,9.2,25.7,74.3,
Jun,6,3993,2573,61,1.8,20.8,50.3,18.1,9.1,22.6,77.4,
Jul,7,4638,2658,63,1.6,18.8,45.8,23.4,10.4,20.4,79.6,
Aug,8,4222,2414,63,1.2,19.6,44.9,22.7,11.6,20.8,79.2,
Sep,9,3180,1773,63,1.5,17.8,45.5,20.9,14.2,19.3,80.7,
Oct,10,3144,1629,63,1.2,27.4,35.2,21.9,14.4,28.5,71.5,
Nov,11,2960,1642,62,0.9,21.1,47.0,16.7,14.3,22.0,78.0,
Dec,12,3110,1555,64,1.8,15.5,44.7,24.6,13.4,17.3,82.7,
