month,month_num,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Jan,1,2384,1308,699000,720000,1.81,11000,3.72,27035,39.5,77,
Feb,2,1961,1080,699000,700000,1.56,10000,3.72,28546,41.5,75,
Mar,3,2382,1410,715950,760000,4.03,25100,6.15,51420,31.7,57,
Apr,4,2739,1650,739450,790000,5.46,35000,7.47,63313,25.3,57,
May,5,3302,2120,769000,830000,6.38,45001,8.39,73842,23.0,57,
Jun,6,3993,2675,795000,852900,5.94,41100,7.69,71522,23.6,61,
Jul,7,4638,2769,760000,820000,5.67,39000,7.27,62310,24.2,64,
Aug,8,4222,2526,750000,804015,4.76,30001,6.41,53438,26.9,64,
Sep,9,3180,1861,699900,750000,3.72,23000,4.94,34649,31.7,63,
Oct,10,3144,1765,699000,729000,3.0,19000,4.54,32904,34.3,63,
Nov,11,2960,1715,699999,750000,3.03,20100,5.04,38835,33.0,62,
Dec,12,3110,1812,715000,750000,2.37,15000,4.5,33945,37.5,64,
