town,season,dist_mi_from_westfield,sales,sales_with_list_price,median_sold_price,median_list_price,median_sold_vs_ask_pct,mean_sold_vs_ask_pct,median_dom,pct_at_or_under_ask,outliers_excluded_from_mean
Edison,Summer,9,1041,659,618000,619900,1.95,3.21,70,37.3,0
Edison,Fall,9,788,474,569000,580000,2.37,3.29,68,34.6,0
Elmwood Park,Winter,21,99,16,594000,562000,1.69,2.78,92,31.2,0
Elmwood Park,Spring,21,103,22,610000,612500,0.0,1.7,84,54.5,0
Elmwood Park,Summer,21,117,34,575000,550000,3.38,4.09,68,35.3,0
Elmwood Park,Fall,21,128,32,577500,577450,3.59,4.09,62,34.4,0
Essex Fells,Winter,15,11,4,1450000,1574500,1.82,2.52,78,50.0,0
Essex Fells,Spring,15,22,11,1563750,1599000,0.0,2.91,67,54.5,0
Essex Fells,Summer,15,39,18,1505000,1494000,-4.03,-1.38,77,77.8,0
Essex Fells,Fall,15,23,7,1280000,1425000,4.04,5.79,61,28.6,0
Fairfield,Winter,16,52,14,715000,729000,0.0,2.51,83,57.1,0
Fairfield,Spring,16,49,14,725000,724950,4.61,5.79,41,21.4,0
Fairfield,Summer,16,103,34,750000,709900,6.13,6.49,69,23.5,0
Fairfield,Fall,16,77,29,710000,699000,2.93,3.59,72,34.5,0
Fanwood,Winter,3,47,28,767500,739500,2.79,4.39,75,32.1,0
Fanwood,Spring,3,66,53,769000,735000,5.83,7.01,50,20.8,0
Fanwood,Summer,3,116,84,735000,709950,7.09,6.79,60,17.9,0
Fanwood,Fall,3,67,47,752000,699000,5.51,7.12,61,21.3,0
Florham Park,Winter,15,91,49,995000,1099990,0.0,0.66,82,55.1,0
Florham Park,Spring,15,96,47,855000,879900,3.03,4.95,58,36.2,0
Florham Park,Summer,15,204,110,955000,997000,3.88,5.57,64,30.0,0
Florham Park,Fall,15,127,70,815000,875000,3.44,4.42,62,37.1,0
Franklin Lakes,Winter,24,57,15,1500000,1699000,-1.09,0.88,102,66.7,0
Franklin Lakes,Spring,24,94,23,1450000,1325000,0.38,-0.15,72,47.8,0
Franklin Lakes,Summer,24,133,45,1415000,1679000,0.0,2.12,83,55.6,0
