month,month_num,year,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Jan,1,2024,863,394,675000,679500,1.33,10000,3.43,19018,40.6,77,
Jan,1,2025,832,492,699000,735000,2.75,19000,4.36,30532,33.7,76,
Jan,1,2026,794,477,749000,767000,1.16,6500,3.36,30919,44.4,77,
Feb,2,2024,773,367,665000,685000,2.03,11000,4.3,28673,40.1,67,
Feb,2,2025,635,383,689000,700000,1.39,10000,3.05,20953,41.3,77,
Feb,2,2026,655,365,749900,775000,1.29,7501,3.68,34384,42.7,78,
Mar,3,2024,948,485,699000,730000,4.43,26000,5.83,42570,30.5,58,
Mar,3,2025,762,487,735000,780000,4.93,32333,7.05,60982,29.2,57,
Mar,3,2026,806,508,731500,765500,2.81,18850,5.3,49232,35.2,57,
Apr,4,2024,1179,632,725000,780000,6.0,35550,7.68,61731,25.0,56,
Apr,4,2025,893,557,750000,822099,5.65,41000,7.83,64766,24.6,57,
Apr,4,2026,804,532,754950,800000,4.35,30000,6.57,60421,27.3,58,
May,5,2024,1312,717,740056,810000,7.73,50100,8.81,69454,21.1,60,
May,5,2025,1098,729,798000,850000,6.02,40450,8.27,73826,23.2,57,
May,5,2026,1077,768,799950,876000,5.76,45000,8.03,78431,25.3,57,
Jun,6,2024,1491,830,769900,830000,7.36,50050,8.42,70703,19.3,62,
Jun,6,2025,1311,911,799000,868500,6.0,46000,7.9,72112,23.5,62,
Jun,6,2026,1419,1062,829000,891500,4.55,35000,6.93,71169,26.9,61,
Jul,7,2023,1632,785,699000,750000,5.3,31000,6.48,47202,23.1,64,
Jul,7,2024,1599,909,775000,828000,6.52,46000,7.5,60998,23.2,64,
Jul,7,2025,1336,898,800000,877500,5.11,35000,7.17,65836,27.2,63,
Jul,7,2026,340,327,875000,925000,5.62,50001,7.85,82014,26.0,66,
Aug,8,2023,1636,868,729000,760000,5.05,31000,6.39,50222,25.0,64,
Aug,8,2024,1582,957,789000,840000,5.66,40000,7.24,62849,24.3,63,
Aug,8,2025,1254,843,789000,835000,3.87,25000,5.21,45042,32.5,65,
Sep,9,2023,1196,624,699000,725000,4.01,25000,5.21,36422,29.5,62,
Sep,9,2024,1096,645,715000,760000,4.41,26000,5.55,38514,28.4,65,
Sep,9,2025,1054,682,765000,800000,2.22,14500,3.96,29234,37.5,66,
Oct,10,2023,1148,558,639000,661000,3.04,16000,4.08,24163,33.9,62,
Oct,10,2024,1120,603,699000,740000,3.06,20000,4.65,31216,32.0,65,
Oct,10,2025,1051,692,750000,802500,2.58,15550,4.6,39145,37.9,62,
Nov,11,2023,1077,558,681500,720000,3.38,21000,5.21,35313,31.9,61,
Nov,11,2024,1154,627,725000,755000,3.16,22000,5.0,37953,31.7,62,
Nov,11,2025,926,622,749450,780000,2.08,16000,4.65,38380,36.7,63,
Dec,12,2023,1052,554,699000,725750,2.73,15001,4.52,30070,37.5,62,
Dec,12,2024,1074,608,700000,752250,2.75,17500,4.43,31692,34.4,63,
Dec,12,2025,1116,719,755000,800000,1.54,10000,4.44,38272,41.0,67,
