town,season,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Basking Ridge,Fall,72,72,846500,841500,0.82,5000,2.13,12858,44.4,64,
Basking Ridge,Spring,160,160,895000,920000,4.71,31500,5.4,53265,21.2,60,
Basking Ridge,Summer,82,82,857000,867500,3.54,21000,3.57,30630,31.7,57,
Basking Ridge,Winter,74,74,549500,579250,0.51,3000,2.31,13881,43.2,69,
Bedminster,Fall,35,35,499999,515000,0.0,1,1.17,-3777,54.3,54,
Bedminster,Spring,72,72,499450,522500,3.57,20000,4.05,21554,26.4,50,
Bedminster,Summer,36,36,452450,459950,2.68,13000,3.5,17936,25.0,55,
Bedminster,Winter,42,42,487450,485000,2.35,10000,2.57,16365,40.5,52,
Berkeley Heights,Fall,35,35,849000,900000,6.92,51000,7.04,57677,20.0,54,
Berkeley Heights,Spring,68,68,829500,935500,8.74,80000,9.86,88504,11.8,56,
Berkeley Heights,Summer,37,37,800000,825000,4.0,31000,4.65,39952,37.8,57,
Berkeley Heights,Winter,28,28,799950,843725,4.24,44500,5.92,56820,39.3,60,
Bernardsville,Fall,24,24,1214500,1261250,3.11,27500,1.83,279,41.7,74,
Bernardsville,Spring,42,42,912000,999499,4.44,48000,5.63,29469,38.1,56,
Bernardsville,Summer,25,25,1299000,1357085,0.0,0,0.62,-52477,52.0,70,
Bernardsville,Winter,16,16,849500,910000,2.46,25500,0.59,-606,31.2,78,
Boonton,Fall,40,40,650000,706584,4.67,33550,5.37,34188,27.5,70,
Boonton,Spring,59,59,699000,725000,3.48,22000,5.14,34778,30.5,58,
Boonton,Summer,35,34,644500,682500,3.71,23000,4.26,24400,17.6,56,
Boonton,Winter,33,33,665000,715000,0.0,0,1.63,8497,51.5,76,
Branchburg,Fall,51,51,649000,647000,0.0,0,1.22,9957,56.9,61,
Branchburg,Spring,83,83,605000,650000,3.75,24999,4.61,27872,25.3,58,
Branchburg,Summer,54,53,625000,620000,1.02,10000,1.52,8387,45.3,60,
Branchburg,Winter,60,60,570000,592500,1.25,5100,2.14,11349,41.7,74,
Bridgewater,Fall,84,84,649000,668500,0.24,1300,1.09,5474,46.4,66,
Bridgewater,Spring,151,151,725000,760000,4.67,30010,5.5,39414,20.5,59,
