month,month_num,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Jan,1,939,934,749900,794000,2.62,17000,5.03,41599,36.8,65,
Feb,2,1297,1284,779900,833500,5.31,36000,7.5,65993,25.9,59,
Mar,3,1700,1681,825000,895000,6.9,51000,8.86,81927,22.6,59,
Apr,4,1864,1845,849000,920000,6.52,50001,8.25,79296,22.4,64,
May,5,2609,2574,825000,902500,6.94,51000,8.69,80662,20.4,62,
Jun,6,2170,2162,799000,850000,5.54,40000,7.16,59710,25.1,61,
Jul,7,1787,1779,750000,800000,4.2,26000,5.51,42265,29.2,61,
Aug,8,1557,1554,728750,760000,3.41,22000,4.71,32124,32.4,61,
Sep,9,1453,1446,749000,785000,3.67,25001,5.51,45909,30.4,61,
Oct,10,1657,1642,775000,815500,3.06,20100,5.12,40133,35.5,62,
Nov,11,1224,1220,732500,776250,2.67,17750,4.67,35445,35.9,66,
Dec,12,864,860,699900,720000,0.95,5550,2.88,18625,44.5,73,
