month,month_num,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Jan,1,646,643,769000,814500,2.64,20000,5.23,46251,36.2,64,
Feb,2,872,862,796000,849500,5.17,35100,7.31,68528,26.5,60,
Mar,3,1189,1173,825000,900000,6.86,51000,9.1,85766,21.2,61,
Apr,4,1407,1393,845000,910000,6.17,50000,8.19,79305,22.5,61,
May,5,1547,1525,839500,920000,6.65,51000,8.87,86551,21.2,57,
Jun,6,845,842,799000,860500,5.14,35050,6.85,60643,25.7,57,
Jul,7,673,670,799000,839390,3.52,21000,4.6,34025,35.2,63,
Aug,8,508,508,750000,803000,2.56,17000,4.31,30178,37.0,62,
Sep,9,564,563,799000,830000,3.18,25000,5.41,52587,34.3,62,
Oct,10,716,709,799999,855000,2.08,15000,4.8,43385,39.8,68,
Nov,11,647,644,787000,815000,2.33,16000,4.57,36674,37.1,73,
Dec,12,590,587,725000,747312,1.2,6000,3.04,20498,43.4,73,
