close_month,month_num,sales_all,n_lag,median_days_list_to_close,pct_listed_same_month,pct_listed_1mo_before,pct_listed_2mo_before,pct_listed_3mo_before,pct_listed_4mo_or_more_before,pct_fresh,pct_aged,thin
Jan,1,2489,1249,77,1.0,11.4,36.7,29.2,21.8,12.3,87.7,
Feb,2,2063,1056,74,2.3,24.7,25.4,19.6,28.0,27.0,73.0,
Mar,3,2516,1418,57,2.0,24.6,45.6,9.9,17.8,26.6,73.4,
Apr,4,2876,1672,56,1.8,27.6,41.8,17.6,11.2,29.4,70.6,
May,5,3487,1684,57,2.5,23.2,50.4,14.7,9.2,25.7,74.3,
Jun,6,4221,2713,61,1.8,21.5,49.2,18.7,8.9,23.2,76.8,
Jul,7,4907,2803,63,1.3,19.1,46.0,22.8,10.9,20.4,79.6,
Aug,8,4472,2552,63,1.2,19.8,45.0,22.5,11.6,21.0,79.0,
Sep,9,3346,1866,63,1.2,18.0,45.6,20.9,14.4,19.2,80.8,
Oct,10,3319,1729,63,1.0,27.6,35.0,21.8,14.5,28.6,71.4,
Nov,11,3157,1743,61,0.7,21.2,47.1,17.0,14.0,21.9,78.1,
Dec,12,3242,1625,64,1.7,15.6,44.4,24.8,13.5,17.4,82.6,
