month,month_num,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Jan,1,2489,1363,699900,727500,1.79,11000,3.74,27339,39.5,77,
Feb,2,2063,1115,699000,709000,1.56,10000,3.67,27891,41.3,75,
Mar,3,2516,1480,725000,765000,4.01,25050,6.05,50915,31.7,57,
Apr,4,2876,1721,749000,800000,5.38,35000,7.39,62309,25.6,57,
May,5,3487,2214,780000,841500,6.46,46000,8.36,74007,23.2,57,
Jun,6,4221,2803,799000,861000,5.94,45000,7.69,71337,23.5,61,
Jul,7,4907,2919,779000,835000,5.58,39786,7.16,61131,24.7,64,
Aug,8,4472,2668,761000,811000,4.76,30026,6.32,53115,27.1,64,
Sep,9,3346,1951,715000,757511,3.61,22000,4.88,34601,31.9,64,
Oct,10,3319,1853,699900,740000,2.89,18000,4.46,32053,34.8,63,
Nov,11,3157,1807,700500,752000,3.01,20001,4.94,37285,33.5,62,
Dec,12,3242,1881,725000,755200,2.33,15000,4.46,33730,37.9,64,
