month,month_num,year,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Jan,1,2024,1053,438,657000,670000,1.37,10000,3.39,18388,40.2,77,
Jan,1,2025,1010,570,692000,730000,2.6,16000,4.3,30141,34.2,75,
Jan,1,2026,929,545,729000,750000,1.26,9000,3.34,29653,43.5,77,
Feb,2,2024,929,399,650000,680000,2.07,11000,4.34,28847,39.6,70,
Feb,2,2025,751,435,665000,680000,1.59,10100,3.25,21260,40.0,77,
Feb,2,2026,762,408,725000,750000,0.97,5100,3.57,32378,42.6,79,
Mar,3,2024,1093,522,696500,720000,4.64,25750,5.87,42432,29.9,57,
Mar,3,2025,889,555,714000,760000,4.88,32333,6.78,56893,28.5,58,
Mar,3,2026,940,584,719450,750000,2.91,19550,5.12,46430,35.3,58,
Apr,4,2024,1357,666,699000,740000,5.87,35000,7.56,59855,26.0,57,
Apr,4,2025,1017,623,749000,805000,5.78,41000,7.67,62032,24.2,57,
Apr,4,2026,981,635,739000,775000,4.35,30000,6.28,55694,26.6,58,
May,5,2024,1509,766,719500,780000,7.47,50000,8.56,66726,21.1,61,
May,5,2025,1256,813,770000,825000,5.91,40000,8.06,69892,22.9,56,
May,5,2026,1259,879,775000,850000,5.21,36000,7.47,72114,26.6,58,
Jun,6,2024,1735,881,749000,810501,7.27,50000,8.43,70003,19.1,61,
Jun,6,2025,1471,1008,779450,842500,5.88,43000,7.66,68474,23.4,62,
Jun,6,2026,1669,1185,799000,866000,4.74,35000,6.9,68954,26.8,61,
Jul,7,2023,1888,846,675000,725000,5.37,32000,6.58,47332,22.2,64,
Jul,7,2024,1808,953,750000,805000,6.52,45000,7.5,59905,23.3,64,
Jul,7,2025,1517,1002,799000,850000,5.08,35000,7.05,63055,26.7,63,
Jul,7,2026,1153,951,825000,877000,4.43,35000,6.8,66385,27.5,63,
Aug,8,2023,1891,919,700000,750000,5.13,31000,6.4,49286,24.4,64,
Aug,8,2024,1841,1037,749999,809000,5.62,38100,7.2,60797,23.6,63,
Aug,8,2025,1449,951,775000,803030,3.87,25000,5.2,43526,32.1,65,
Sep,9,2023,1417,678,675000,703000,3.98,25000,5.14,35334,29.5,62,
Sep,9,2024,1317,709,699900,752000,4.5,26000,5.56,37826,28.1,65,
Sep,9,2025,1265,794,746500,775000,2.38,15000,3.84,27559,37.3,66,
Oct,10,2023,1377,594,629000,650000,3.18,19000,4.23,25023,32.7,64,
Oct,10,2024,1361,673,699000,729000,3.16,20000,4.58,30462,32.5,66,
Oct,10,2025,1250,806,749000,775000,2.75,17500,4.6,38099,37.1,62,
Nov,11,2023,1288,608,675000,703500,3.22,20050,5.01,33590,33.2,61,
Nov,11,2024,1386,678,699900,745050,3.51,22350,5.03,37023,31.0,62,
Nov,11,2025,1103,713,735000,765000,2.08,15100,4.34,35288,36.7,64,
Dec,12,2023,1240,598,685000,710000,2.84,16000,4.45,29267,36.6,63,
Dec,12,2024,1268,690,699000,738500,2.82,20000,4.42,31268,33.5,63,
Dec,12,2025,1293,808,749450,772500,1.56,10000,4.25,36180,40.8,67,
