month,month_num,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Jan,1,1091,1086,714950,760000,2.62,17000,4.9,38995,36.6,65,
Feb,2,1448,1434,749000,800000,5.26,35000,7.22,61361,25.5,59,
Mar,3,1777,1759,785000,845000,6.56,49650,8.47,75906,22.5,57,
Apr,4,2092,2071,800000,885000,6.53,50001,8.18,76909,21.1,65,
May,5,3130,3091,799000,870000,6.71,50100,8.47,77460,20.7,64,
Jun,6,2999,2988,779000,826000,5.36,36800,7.06,58192,24.8,60,
Jul,7,2193,2184,739000,775000,4.25,26000,5.49,40791,28.6,59,
Aug,8,1835,1832,699900,740000,3.43,21000,4.64,30725,32.0,62,
Sep,9,1702,1695,715000,752000,3.59,25000,5.31,42750,30.7,62,
Oct,10,1895,1880,749000,775000,3.01,20000,4.91,38123,35.4,62,
Nov,11,1410,1406,699999,750000,2.57,15572,4.47,33196,36.1,67,
Dec,12,1026,1021,692999,705000,1.17,6000,2.89,18295,43.0,73,
