month,month_num,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Jan,1,746,743,740000,775000,2.64,20000,5.06,43237,35.8,65,
Feb,2,1000,989,769000,815000,5.0,35000,6.95,63842,26.5,61,
Mar,3,1362,1345,799000,860000,6.67,50000,8.75,80305,21.2,61,
Apr,4,1639,1623,799900,880000,5.88,45000,7.86,74041,22.4,62,
May,5,1876,1852,800000,885000,6.32,50000,8.46,81031,22.2,60,
Jun,6,1288,1285,799000,850000,5.01,35000,6.64,58348,25.3,56,
Jul,7,803,800,767000,805408,3.46,20300,4.51,32055,35.1,62,
Aug,8,611,611,729990,765000,2.91,20000,4.32,29692,35.7,63,
Sep,9,673,672,764663,800000,3.04,21750,5.12,47877,34.4,63,
Oct,10,827,820,795000,835000,2.08,15000,4.54,40789,39.8,69,
Nov,11,745,742,749950,790000,2.2,15000,4.37,34463,38.0,74,
Dec,12,698,695,699900,720000,1.43,9112,3.06,20108,41.7,72,
