town,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Basking Ridge,548,428,842450,867500,2.85,20050,3.94,34670,31.5,62,
Bedminster,289,213,485000,500000,2.22,10001,3.03,12234,33.8,54,
Berkeley Heights,249,195,829000,888000,6.31,50000,7.15,63829,25.1,57,
Bernardsville,178,120,962500,1050000,3.25,25500,2.88,1982,40.0,62,
Boonton,302,192,675000,715000,2.48,16000,4.29,27511,33.9,63,
Branchburg,393,293,599000,615000,1.89,10000,2.59,15740,39.9,62,
Bridgewater,655,505,650000,695000,2.44,15100,3.45,23025,35.2,61,
Caldwell,431,228,750000,812500,5.58,40000,7.59,58753,26.8,62,
Cedar Grove,250,127,749000,800000,8.89,65000,8.33,57554,16.5,58,
Cedar Knolls,54,40,742000,770000,5.33,35100,6.02,48209,22.5,63,
Chatham,458,310,1349000,1576500,6.09,77000,8.56,111657,27.4,61,
Chester,201,139,924900,925000,1.96,20000,2.64,16662,41.0,68,
Clark,248,133,699999,735000,3.57,21000,2.71,15869,28.6,63,
Colonia,282,213,614999,635000,2.52,15000,3.42,19779,31.9,71,
Cranford,390,265,750000,800000,5.21,36000,6.43,48005,24.2,56,
Denville,486,292,650000,685000,3.69,25000,4.43,27997,31.8,61,
East Hanover,325,114,826950,877000,4.87,39100,5.72,48652,22.8,62,
Edison,1280,921,599000,610000,0.65,4100,1.77,10315,45.3,72,
Elmwood Park,177,49,639900,650000,1.12,10000,2.36,11892,46.9,69,
Essex Fells,48,26,1530750,1502500,-0.59,-5000,0.67,-14996,57.7,66,
Fairfield,112,38,749450,795500,3.93,30500,6.23,52881,28.9,63,
Fanwood,137,110,749000,810000,6.87,50500,7.2,55510,24.5,58,
Florham Park,217,132,1049900,1100000,3.18,25500,4.27,37605,36.4,58,
Franklin Lakes,175,54,1704000,1775000,0.0,0,2.64,-5473,53.7,95,
Garwood,89,57,679000,700000,3.33,21000,2.84,19835,29.8,62,
Gillette,78,55,649999,685000,1.82,15000,3.36,28353,41.8,68,
Glen Ridge,166,121,899000,1175000,22.36,226000,21.0,227857,10.7,58,
Glen Rock,184,73,939000,1081000,10.55,100999,11.37,106943,13.7,59,
Green Brook,305,208,552500,569450,0.9,5000,2.2,10570,43.3,68,
Hanover Township,174,88,675000,707450,3.63,26000,5.9,38071,29.5,52,
Livingston,668,364,1090000,1177500,1.73,18444,4.68,42632,41.8,66,
Long Valley,226,165,729000,750000,2.94,17100,2.73,16782,33.9,63,
Madison,278,188,1175000,1305000,6.21,61500,8.75,96044,26.6,64,
Maplewood,525,388,879000,1060000,10.91,101500,13.9,132362,16.8,54,
Martinsville,80,59,839000,855000,1.64,19100,2.94,17911,40.7,62,
Mendham,237,199,1150000,1150000,0.0,0,2.36,14023,51.3,69,
Metuchen,311,220,687000,715000,3.71,24500,5.11,39260,29.1,60,
Millburn,156,100,1295000,1412000,6.25,50500,6.91,75907,32.0,62,
Millington,55,45,849000,875000,4.0,26000,4.5,41907,26.7,62,
Montclair,741,446,999499,1225000,16.96,170000,17.33,197636,16.8,59,
Montville,242,157,769000,793000,3.76,30100,4.06,31893,30.6,70,
Morris Plains,437,260,719000,735000,2.62,16000,4.63,34341,31.5,60,
Morristown,847,525,800000,865000,3.9,30000,5.46,49601,33.5,63,
Mountain Lakes,93,72,1199000,1207500,3.01,29000,5.7,57425,40.3,80,
Mountainside,116,84,959500,1037629,3.34,39025,6.23,63097,33.3,66,
New Providence,216,175,899000,1020000,8.95,76000,9.37,94054,22.3,56,
North Haledon,301,158,650000,672500,2.13,15000,3.69,22367,32.3,71,
Nutley,493,264,619700,656250,3.42,19500,4.69,27590,29.9,66,
Parsippany-Troy Hills,448,255,665000,687369,4.0,25000,4.35,27027,32.2,57,
Pompton Lakes,224,135,499900,530000,3.88,17500,4.62,22263,31.1,68,
Pompton Plains,149,93,649900,690000,2.73,20000,3.21,17302,32.3,63,
Randolph,453,311,769000,815000,3.16,25000,4.76,37111,30.5,64,
Roseland,107,49,759000,770000,4.57,40001,6.14,48094,26.5,62,
Scotch Plains,422,301,865000,912000,4.74,35758,6.56,61508,29.2,62,
Short Hills,270,210,2295000,2414000,2.63,50000,5.08,83016,43.3,70,
South Orange,322,235,975000,1115000,10.39,96000,12.28,128715,16.6,62,
South Plainfield,340,237,559000,575000,2.0,11000,3.01,17165,30.0,70,
Springfield,293,196,646500,675000,4.0,21500,4.95,32775,27.0,62,
Stirling,38,28,722000,742500,5.31,36100,5.89,42525,25.0,56,
Summit,444,328,1350000,1510000,8.12,102000,9.78,132983,26.8,59,
Totowa,174,77,629000,661000,3.16,20100,3.19,14305,28.6,70,
Towaco,106,76,789000,792500,1.78,18500,4.16,44877,36.8,64,
Verona,316,215,679000,790000,6.84,42000,9.74,75603,27.9,61,
Warren,402,229,1199900,1200000,0.0,0,0.88,1394,59.8,76,
Watchung,114,82,999450,1087500,2.08,21500,2.75,23303,45.1,66,
Wayne,881,594,699450,745000,4.45,30100,5.68,42631,24.2,65,
West Orange,932,574,638500,682750,7.29,45000,8.28,56356,21.3,62,
Westfield,608,472,1162500,1300016,6.9,75000,8.55,92909,22.2,56,
Woodbridge,348,260,450000,462500,1.73,7250,2.98,13294,37.3,69,
Woodland Park,460,227,599000,625000,3.29,20000,4.2,24345,31.3,62,
