month,month_num,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Jan,1,2995,1572,689000,715000,1.84,11000,3.72,26645,38.9,77,
Feb,2,2444,1264,689000,700000,1.56,10000,3.68,26997,40.7,76,
Mar,3,2940,1680,699900,745750,4.11,25100,5.93,48725,31.1,58,
Apr,4,3368,1955,725000,765000,5.33,35000,7.14,58786,25.4,57,
May,5,4046,2485,749900,810000,6.06,41000,7.99,69231,23.6,55,
Jun,6,4880,3117,775000,835000,5.94,41000,7.56,68539,23.5,61,
Jul,7,6858,4075,769000,824000,5.21,35100,6.96,59304,25.3,64,
Aug,8,5408,3192,749000,788500,4.69,30000,6.29,51917,26.9,64,
Sep,9,4003,2226,699000,740000,3.61,21000,4.81,33285,31.6,64,
Oct,10,3990,2136,699000,725000,2.96,19000,4.43,31364,34.4,64,
Nov,11,3782,2052,699000,735004,2.9,20000,4.74,34932,33.8,63,
Dec,12,3805,2123,699990,740000,2.38,15000,4.34,32384,37.1,64,
