town,season,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
East Hanover,Spring,50,50,822500,889000,6.44,49825,6.16,56184,24.0,62,
East Hanover,Summer,49,49,749900,800000,3.75,28100,5.01,39709,26.5,52,
East Hanover,Winter,36,36,787000,783500,2.66,17000,3.96,30817,27.8,60,
Edison,Fall,45,45,599000,610000,3.08,15100,3.48,15301,24.4,61,
Edison,Spring,74,74,632000,657500,3.11,20800,4.68,30742,32.4,68,
Edison,Summer,59,59,599000,642000,5.68,16300,4.64,26643,22.0,62,
Edison,Winter,39,39,679000,689000,0.54,2600,2.15,8916,48.7,76,
Elmwood Park,Fall,22,22,589450,615000,5.02,20050,3.71,21968,36.4,64,
Elmwood Park,Spring,20,20,614950,632500,-0.24,-1250,1.82,14591,65.0,77,
Elmwood Park,Summer,28,28,564500,599500,2.97,20500,4.49,20739,28.6,63,
Elmwood Park,Winter,17,17,549000,606500,1.22,10000,3.05,14914,29.4,98,
Essex Fells,Fall,5,5,1750000,1500000,4.04,76000,3.37,25600,40.0,63,yes
Essex Fells,Spring,12,12,1444000,1440000,-1.77,-15000,2.78,4675,58.3,72,
Essex Fells,Summer,15,15,1499000,1500000,-1.75,-25000,1.36,-36667,66.7,70,
Essex Fells,Winter,4,4,1499000,1540000,3.79,51000,2.1,27000,25.0,55,yes
Fairfield,Fall,12,12,679500,702500,0.01,50,1.61,5483,50.0,88,
Fairfield,Spring,16,16,734450,795500,7.19,55100,7.83,74600,12.5,68,
Fairfield,Summer,37,37,749900,750000,4.67,37000,5.31,41822,24.3,67,
Fairfield,Winter,7,7,1100000,1050000,0.0,0,3.11,28909,57.1,69,yes
Fanwood,Fall,46,46,699900,751000,5.38,29500,6.39,45672,21.7,63,
Fanwood,Spring,55,55,739000,800000,5.15,36000,7.18,56159,21.8,58,
Fanwood,Summer,51,51,699900,760000,6.39,43000,6.35,43250,19.6,56,
Fanwood,Winter,31,31,749000,820000,6.01,35100,6.75,49317,29.0,68,
Florham Park,Fall,54,54,884000,949500,2.54,15500,3.55,28217,33.3,59,
Florham Park,Spring,66,66,899000,960000,2.81,25500,5.36,51063,31.8,64,
Florham Park,Summer,65,65,975000,1050000,4.55,50000,5.72,51435,29.2,62,
Florham Park,Winter,44,44,994250,1087500,0.0,0,2.29,19289,52.3,82,
Franklin Lakes,Fall,13,13,1699000,1770000,-1.8,-34000,0.55,446,61.5,99,
Franklin Lakes,Spring,32,32,1597000,1605000,0.16,2550,3.36,28343,50.0,84,
Franklin Lakes,Summer,29,29,1195000,1325000,1.04,15000,3.03,-236,41.4,76,
Franklin Lakes,Winter,18,18,1499450,1587500,-1.6,-14500,-1.66,-68693,66.7,109,
Garwood,Fall,22,22,662000,700000,3.71,23500,5.6,37038,18.2,62,
Garwood,Spring,31,31,675000,707000,5.28,31000,4.21,28300,38.7,62,
Garwood,Summer,25,25,635000,650000,3.88,20000,2.69,15928,28.0,61,
Garwood,Winter,16,16,659800,673650,0.18,1000,2.62,17506,43.8,70,
Gillette,Fall,22,22,550000,572750,0.1,500,0.36,5824,50.0,71,
Gillette,Spring,28,28,652000,692500,6.62,48550,5.33,39100,32.1,65,
Gillette,Summer,29,29,639000,649999,6.71,40000,5.56,43528,31.0,61,
Gillette,Winter,10,10,542500,542500,2.13,10050,2.62,22098,40.0,60,
Glen Ridge,Fall,39,33,799000,975000,24.15,226000,20.33,208755,6.1,54,
Glen Ridge,Spring,83,71,989000,1220000,20.6,206000,19.5,204501,11.3,61,
Glen Ridge,Summer,67,64,799000,999999,21.13,166000,19.4,178943,14.1,56,
Glen Ridge,Winter,37,33,770000,880000,23.67,189000,21.68,215924,15.2,62,
Glen Rock,Fall,32,32,899000,1000500,10.27,91500,10.77,95756,6.2,60,
Glen Rock,Spring,32,32,932000,1213500,15.52,136000,16.52,163247,3.1,60,
Glen Rock,Summer,59,59,899000,999000,6.01,51000,8.1,75767,22.0,58,
Glen Rock,Winter,21,21,899000,999999,6.5,60999,8.04,65538,19.0,59,
Green Brook,Fall,58,58,564950,587500,1.84,10100,2.69,6438,41.4,68,
Green Brook,Spring,64,63,559000,595000,3.61,21000,4.06,22661,25.4,64,
Green Brook,Summer,59,59,589900,596000,2.34,15500,4.01,16809,33.9,71,
Green Brook,Winter,55,55,514000,528000,2.52,11000,2.91,17193,38.2,69,
Haledon,Fall,7,7,615000,635000,3.34,20000,6.3,33157,14.3,59,yes
Haledon,Spring,4,4,537000,552550,1.94,12550,3.46,16525,25.0,94,yes
Haledon,Summer,13,13,499000,499000,4.67,21000,5.04,25662,30.8,54,
Haledon,Winter,4,4,510000,530000,9.91,51000,7.39,35500,25.0,66,yes
Hanover Township,Fall,41,41,689900,700000,4.74,30100,5.88,40898,29.3,53,
Hanover Township,Spring,44,44,645000,690000,8.98,58500,8.65,55873,25.0,54,
Hanover Township,Summer,46,46,597450,622500,3.44,22500,5.08,29031,23.9,52,
Hanover Township,Winter,14,13,724900,775000,2.89,26000,4.17,32758,15.4,54,
Livingston,Fall,133,133,1050000,1100000,1.37,12000,3.58,33600,41.4,70,
Livingston,Spring,164,164,1050000,1200000,5.19,50000,7.1,63097,31.1,66,
Livingston,Summer,182,182,943950,999999,3.55,30000,4.79,35751,35.7,61,
Livingston,Winter,78,78,1060000,1150000,0.53,7500,3.96,31946,48.7,80,
Long Valley,Fall,75,75,650000,700000,1.14,10000,2.68,12628,38.7,62,
Long Valley,Spring,89,89,699000,750000,5.44,35000,5.25,36236,21.3,61,
Long Valley,Summer,108,108,687450,714500,3.42,24050,3.95,23220,28.7,61,
Long Valley,Winter,41,41,699900,685000,2.2,17500,3.26,21165,39.0,70,
Madison,Fall,85,85,1075000,1150000,4.25,32501,6.18,57715,30.6,62,
Madison,Spring,105,105,1175000,1310000,7.36,76000,10.17,112980,21.9,70,
Madison,Summer,89,89,875000,935000,5.0,35100,6.01,52999,28.1,59,
Madison,Winter,50,50,988000,1162500,4.05,41000,7.54,86235,32.0,66,
Maplewood,Fall,149,149,799000,900000,6.39,45000,8.86,78856,28.2,57,
Maplewood,Spring,232,229,890000,1120000,15.14,128000,17.08,161175,10.5,58,
Maplewood,Summer,170,170,825000,955000,9.74,73000,11.56,102593,17.6,56,
Maplewood,Winter,101,100,837000,957500,11.31,100536,13.25,125782,15.0,50,
Martinsville,Fall,23,23,699900,755000,0.0,0,2.44,13625,52.2,69,
Martinsville,Spring,37,37,875000,900000,3.7,41000,4.43,36697,29.7,62,
Martinsville,Summer,29,29,829000,835000,2.73,30100,3.77,29824,20.7,68,
Martinsville,Winter,18,18,774500,828500,0.0,0,0.1,-9533,55.6,62,
Mendham,Fall,56,56,1124500,1150000,-2.03,-22000,-0.77,-21214,73.2,71,
Mendham,Spring,97,97,1099990,1137500,4.43,39000,4.66,31050,37.1,66,
Mendham,Summer,94,94,877000,917500,0.72,5500,2.24,10386,47.9,65,
Mendham,Winter,48,48,1187000,1235000,0.0,0,1.03,-3315,52.1,69,
Mendham Township,Fall,7,7,971500,971500,10.91,60000,8.99,108571,42.9,54,yes
Mendham Township,Spring,9,9,1235000,1310000,3.03,25001,2.24,27445,33.3,69,yes
Mendham Township,Summer,22,22,1012000,999475,0.52,4500,0.12,2420,45.5,74,
Mendham Township,Winter,8,8,1244500,1225000,1.33,13500,0.15,-36296,37.5,70,yes
Metuchen,Fall,21,21,680000,700000,4.74,30000,6.32,40578,23.8,66,
Metuchen,Spring,30,30,740000,737500,9.85,68000,8.87,67764,16.7,62,
Metuchen,Summer,23,23,675000,710000,4.7,27000,5.16,34183,34.8,62,
