close_month,month_num,sales_all,n_lag,median_days_list_to_close,pct_listed_same_month,pct_listed_1mo_before,pct_listed_2mo_before,pct_listed_3mo_before,pct_listed_4mo_or_more_before,pct_fresh,pct_aged,thin
Jan,1,3004,1451,77,1.0,11.9,36.5,28.6,22.1,12.9,87.1,
Feb,2,2451,1185,74,2.2,23.8,26.2,19.9,27.8,26.0,74.0,
Mar,3,2946,1607,58,1.9,23.4,46.7,10.3,17.8,25.3,74.7,
Apr,4,3375,1883,57,2.0,26.9,42.3,17.7,11.1,28.9,71.1,
May,5,4068,1612,55,2.8,26.6,50.1,12.3,8.3,29.3,70.7,
Jun,6,4924,3011,61,1.7,21.1,49.5,18.8,8.9,22.8,77.2,
Jul,7,6999,3962,63,1.5,20.4,45.0,22.9,10.2,21.8,78.2,
Aug,8,6803,3921,64,1.3,18.9,45.8,22.4,11.7,20.2,79.8,
Sep,9,4640,2648,64,1.4,15.3,45.9,22.7,14.7,16.7,83.3,
Oct,10,4002,1999,63,1.1,26.5,34.9,22.6,14.9,27.6,72.4,
Nov,11,3796,1969,62,0.8,20.7,46.1,18.1,14.3,21.5,78.5,
Dec,12,3814,1835,64,1.8,15.0,44.5,24.5,14.2,16.8,83.2,
