town,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Basking Ridge,598,462,839000,864326,2.83,20000,3.9,34837,32.0,63,
Bedminster,308,225,485000,500000,2.33,10100,3.06,12019,33.3,54,
Berkeley Heights,269,212,834500,890000,6.19,49500,7.29,66336,24.1,58,
Bernardsville,192,129,949000,1050000,2.67,20001,2.65,716,41.9,62,
Boonton,335,213,680000,725000,2.4,16000,4.09,26183,32.9,65,
Branchburg,437,327,590000,605000,1.94,10001,2.63,15975,40.1,61,
Bridgewater,742,568,650000,695000,2.13,15000,3.2,21517,37.0,61,
Caldwell,467,247,769000,825000,5.42,36000,7.33,56943,27.5,62,
Cedar Grove,280,143,749000,800000,9.35,66000,8.82,62304,15.4,58,
Cedar Knolls,58,42,729750,750000,4.96,35050,5.88,46865,21.4,63,
Chatham,498,335,1349000,1550618,6.12,75000,8.42,108555,27.8,61,
Chester,225,158,949450,977500,2.12,20050,2.77,18947,40.5,69,
Clark,265,147,700000,739999,2.88,20100,2.64,16128,28.6,63,
Colonia,311,234,615000,637500,2.58,15222,3.46,21128,31.6,72,
Cranford,424,284,759000,813000,5.16,37550,6.41,48719,24.6,56,
Denville,529,323,675000,700000,3.42,25000,4.36,28077,32.8,61,
East Hanover,358,129,829000,880000,4.78,38100,5.69,48820,23.3,62,
Edison,1415,1025,599900,615000,0.47,2000,1.65,9598,45.9,72,
Elmwood Park,195,59,630000,640000,1.12,10000,2.52,12690,47.5,73,
Essex Fells,53,28,1530750,1502500,-0.59,-5000,0.41,-27068,57.1,68,
Fairfield,126,42,792000,823000,3.62,30050,6.14,52730,28.6,67,
Fanwood,151,119,749000,805000,6.01,44700,6.9,53073,23.5,58,
Florham Park,244,148,999450,1065500,2.55,25000,4.19,36568,37.8,60,
Franklin Lakes,197,60,1664000,1727000,0.0,0,1.66,-16017,58.3,98,
Garwood,101,66,679000,700000,3.52,23000,3.28,23098,28.8,61,
Gillette,84,59,649999,700000,1.82,15000,3.33,27787,42.4,68,
Glen Ridge,184,133,899900,1190000,22.07,222500,20.61,222860,10.5,58,
Glen Rock,208,82,963500,1110000,9.78,94500,10.67,101340,17.1,59,
Green Brook,332,223,555000,569900,0.88,5000,2.04,9741,43.0,69,
Hanover Township,191,97,690000,709900,3.62,26000,6.02,39026,27.8,53,
Livingston,731,409,1098000,1175000,1.46,15000,4.5,40856,41.8,67,
Long Valley,245,179,735000,757000,3.45,20000,2.96,18720,32.4,63,
Madison,307,208,1185000,1310000,6.21,61500,8.61,93768,27.4,64,
Maplewood,567,421,879000,1060000,10.47,95001,13.59,129806,17.8,55,
Martinsville,85,63,839000,855000,1.64,19100,2.85,16996,39.7,62,
Mendham,256,212,1150000,1167500,0.0,0,2.39,14795,51.4,69,
Metuchen,339,239,698000,720000,3.72,24000,5.15,40292,30.1,60,
Millburn,163,103,1295000,1410000,6.29,51000,6.87,75036,32.0,62,
Millington,61,50,839000,866000,4.63,31500,5.35,47238,24.0,54,
Montclair,810,486,1012500,1225000,16.86,166000,17.34,198744,16.9,59,
Montville,269,176,769450,799408,4.23,32800,4.55,36843,27.8,70,
Morris Plains,476,282,700000,733503,2.62,16000,4.69,33939,32.3,60,
Morristown,925,574,800000,866250,3.92,30500,5.45,49607,33.4,64,
Mountain Lakes,108,84,1199500,1207500,2.13,22000,4.99,50981,41.7,80,
Mountainside,140,101,975000,1040008,2.56,25000,4.89,45284,38.6,64,
New Providence,238,192,899950,999999,8.84,76000,9.35,92731,21.9,56,
North Haledon,331,174,649950,670000,2.13,15000,3.69,22378,33.9,71,
Nutley,534,279,629000,662000,3.51,20000,4.77,28320,29.4,66,
Parsippany-Troy Hills,491,282,675000,695000,3.85,25000,4.27,26803,32.6,59,
Pompton Lakes,248,149,499900,530000,3.88,17500,4.63,22669,30.2,66,
Pompton Plains,159,101,649900,670000,3.09,20001,3.31,18473,32.7,63,
Randolph,511,351,770000,820647,3.09,25000,4.6,35996,31.9,64,
Roseland,128,59,759999,815000,4.57,39000,6.1,47487,28.8,62,
Scotch Plains,471,338,844500,900000,4.19,30050,6.29,58467,30.2,62,
Short Hills,301,234,2295000,2420000,2.63,50000,5.23,87177,43.2,70,
South Orange,356,262,975000,1109000,10.29,92500,12.13,126626,18.7,62,
South Plainfield,372,261,559900,580000,1.78,10100,2.87,16395,31.8,70,
Springfield,330,224,648500,681000,4.01,23250,5.01,33480,26.8,63,
Stirling,44,32,687000,697500,4.37,28500,4.24,39066,25.0,57,
Summit,477,352,1375000,1539500,8.52,104999,9.79,133756,26.7,59,
Totowa,183,83,630000,678000,3.39,20100,3.31,15585,27.7,71,
Towaco,120,86,750000,780000,1.62,15550,4.46,46824,34.9,64,
Verona,346,232,682450,800000,6.85,43500,9.63,75380,27.6,61,
Warren,426,246,1200000,1228000,0.0,0,0.84,1445,59.8,76,
Watchung,124,90,1025000,1124000,0.54,5550,2.3,18147,48.9,71,
Wayne,960,650,699906,749000,4.54,30100,5.68,43121,24.6,66,
West Orange,1030,635,639900,680000,7.27,45000,8.26,56271,21.3,63,
Westfield,653,504,1191000,1307500,6.43,70000,8.21,89552,23.8,57,
Woodbridge,371,279,449999,465000,1.69,7000,2.99,13411,38.4,70,
Woodland Park,504,247,599000,625000,3.16,16000,4.04,23182,32.4,63,
