month,month_num,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Jan,1,748,745,745000,775000,2.64,20000,5.06,43178,35.8,65,
Feb,2,978,967,759000,810000,5.0,35000,6.94,62884,26.3,60,
Mar,3,1207,1192,795000,849500,6.67,50000,8.75,79606,21.1,58,
Apr,4,1587,1571,799900,882500,6.34,50000,8.22,78236,20.8,61,
May,5,2026,2000,819000,891300,6.19,50000,8.37,80416,22.4,62,
Jun,6,1774,1768,799000,860000,4.98,35000,6.75,60898,26.6,62,
Jul,7,1532,1526,779950,822500,3.67,25000,5.08,40079,32.9,61,
Aug,8,879,878,750000,786805,2.32,15100,4.14,29225,37.6,61,
Sep,9,686,685,759500,799000,2.87,21000,5.01,46782,35.0,63,
Oct,10,830,823,795000,835000,2.08,15000,4.52,40538,40.0,69,
Nov,11,749,746,749950,790000,2.17,15000,4.37,35070,38.2,75,
Dec,12,699,696,699900,720000,1.43,9556,3.04,20018,41.7,72,
