month,month_num,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Jan,1,3004,1577,689000,715000,1.82,11000,3.69,26445,39.1,77,
Feb,2,2451,1262,689000,700000,1.56,10000,3.65,26819,40.8,76,
Mar,3,2946,1683,699900,746500,4.11,25100,5.91,48701,31.2,58,
Apr,4,3375,1955,725000,766000,5.33,35000,7.12,58655,25.3,57,
May,5,4068,2472,749900,810000,6.04,40100,7.95,68980,23.7,55,
Jun,6,4924,3115,775000,835000,5.91,41000,7.54,68382,23.6,61,
Jul,7,6999,4084,769000,820000,5.18,35100,6.94,59044,25.3,64,
Aug,8,6803,4060,754450,801000,4.35,30000,6.08,51479,28.5,65,
Sep,9,4640,2739,700000,750000,3.35,21000,4.67,33369,32.9,65,
Oct,10,4002,2125,699000,725000,3.0,19626,4.48,31599,34.4,64,
Nov,11,3796,2040,699000,735000,2.88,20000,4.71,34704,33.9,63,
Dec,12,3814,2115,699999,741000,2.38,15000,4.32,32237,37.2,64,
