address,zip,town,list_date,sold_date,days_on_market,list_price,sold_price,sold_vs_ask_pct,property_type,conflicts,_sources
105 MARC BLVD,07005,Boonton,2023-05-07,2023-07-01,63,589000,640000,8.66,Single Family,,"listing_scrape,nj_records"
305 RESERVE ST,07005,Boonton,2023-06-06,2023-07-13,43,650000,725000,11.54,Single Family,,"listing_scrape,nj_records"
40 BIRCHWOOD LN,07005,Boonton,2023-06-02,2023-07-20,55,799999,795000,-0.62,Single Family,garage,"listing_scrape,nj_records"
529 BOONTON AVE,07005,Boonton,2023-05-11,2023-08-02,110,399000,350000,-12.28,Single Family,sold_date,"listing_scrape,nj_records"
129 WILSON ST,07005,Boonton,2023-08-09,2023-08-10,11,799000,801000,0.25,Multi-Family,year_built,"listing_scrape,nj_records"
214 LIBERTY ST,07005,Boonton,2023-06-26,2023-08-10,57,569900,575000,0.89,Multi-Family,year_built,"listing_scrape,nj_records"
141 WILSON ST,07005,Boonton,2023-06-21,2023-09-21,99,369000,390000,5.69,Single Family,,"listing_scrape,nj_records"
5 GROVE ST,07005,Boonton,2023-08-31,2023-10-05,49,499000,595000,19.24,Single Family,,"listing_scrape,nj_records"
427 ROCKAWAY VALLEY RD,07005,Boonton,2023-08-13,2023-11-03,91,749900,700000,-6.65,Single Family,,"listing_scrape,nj_records"
222 CORNELIA ST,07005,Boonton,2023-10-04,2023-11-20,56,599000,680000,13.52,Multi-Family,year_built,"listing_scrape,nj_records"
708 WILLIAM ST,07005,Boonton,2023-10-05,2023-11-20,52,559000,559000,0.0,Condo,,"listing_scrape,nj_records"
130 WOOTTON ST,07005,Boonton,2023-10-30,2023-12-07,57,425000,519000,22.12,Single Family,,"listing_scrape,nj_records"
130 FAIRVIEW AVE,07005,Boonton,2023-12-06,2024-02-02,70,689000,701000,1.74,Single Family,year_built,"listing_scrape,nj_records"
7 COOPER DR,07005,Boonton,2023-12-18,2024-02-05,58,639900,630000,-1.55,Multi-Family,,"listing_scrape,nj_records"
209 ESSEX AVE,07005,Boonton,2023-10-20,2024-02-09,117,700000,675000,-3.57,Single Family,year_built,"listing_scrape,nj_records"
216 FAIRVIEW AVE,07005,Boonton,2023-10-04,2024-02-16,139,735000,735000,0.0,Single Family,,"listing_scrape,nj_records"
121 OLD WOOD LN,07005,Boonton,2024-01-08,2024-03-07,65,775000,785000,1.29,Single Family,,"listing_scrape,nj_records"
4 LONE OAK LN,07005,Boonton,2024-02-14,2024-04-03,61,1299000,1320000,1.62,Single Family,,"listing_scrape,nj_records"
267 POWERVILLE RD,07005,Boonton,2024-03-01,2024-04-08,44,788000,950000,20.56,Single Family,year_built,"listing_scrape,nj_records"
446 HILL ST,07005,Boonton,2024-02-14,2024-04-16,68,475000,500000,5.26,Townhouse,,"listing_scrape,nj_records"
42 FARBER HILL RD,07005,Boonton,2024-02-22,2024-04-20,67,1075500,1100000,2.28,Single Family,,"listing_scrape,nj_records"
18 HAPGOOD CT,07005,Boonton,2024-04-03,2024-06-04,67,965000,950000,-1.55,Single Family,,"listing_scrape,nj_records"
125 OLD WOOD LN,07005,Boonton,2024-05-23,2024-06-18,35,899000,892000,-0.78,Single Family,,"listing_scrape,nj_records"
179 N MAIN ST,07005,Boonton,2024-04-24,2024-06-18,64,524900,550000,4.78,Condo,,"listing_scrape,nj_records"
539 LATHROP AVE,07005,Boonton,2024-05-10,2024-06-18,48,579000,630000,8.81,Single Family,,"listing_scrape,nj_records"
9 OVERLOOK RD,07005,Boonton,2024-05-23,2024-07-10,52,350000,360000,2.86,Single Family,,"listing_scrape,nj_records"
209 MARC BLVD,07005,Boonton,2024-06-19,2024-08-02,50,690000,750000,8.7,Single Family,,"listing_scrape,nj_records"
705 GREEN ST,07005,Boonton,2024-05-10,2024-08-16,104,599000,610000,1.84,Single Family,,"listing_scrape,nj_records"
115 RIDGEVIEW PL,07005,Boonton,2024-07-29,2024-08-22,30,540000,605000,12.04,Single Family,,"listing_scrape,nj_records"
588 LATHROP AVE,07005,Boonton,2024-02-28,2024-09-05,194,649000,660000,1.69,Single Family,,"listing_scrape,nj_records"
11 JEFFERSON AVE,07005,Boonton,2024-06-21,2024-09-12,89,747000,800000,7.1,Single Family,,"listing_scrape,nj_records"
221 TONER RD,07005,Boonton,2024-06-25,2024-10-04,113,699900,722500,3.23,Single Family,,"listing_scrape,nj_records"
21 SUNRISE RD,07005,Boonton,2024-07-25,2024-10-15,87,399000,440000,10.28,Single Family,,"listing_scrape,nj_records"
35 WAKEFIELD PL,07006,Caldwell,2023-06-02,2023-08-04,68,650000,680000,4.62,Multi-Family,,"listing_scrape,nj_records"
39 WILLOW BROOK DRIVE,07006,North Caldwell,2023-05-01,2023-08-07,105,899000,1150000,27.92,Single Family,,"listing_scrape,nj_records"
5 SEYMOUR ST,07006,Caldwell,2023-06-28,2023-08-07,46,749000,851000,13.62,Single Family,,"listing_scrape,nj_records"
53 FERNDALE ROAD,07006,North Caldwell,2023-06-20,2023-08-14,64,699999,725000,3.57,Single Family,,"listing_scrape,nj_records"
18 HAMILTON DRIVE EAST,07006,North Caldwell,2023-06-12,2023-08-21,78,842000,870000,3.33,Single Family,,"listing_scrape,nj_records"
18 MAGNOLIA LA,07006,Caldwell,2023-09-02,2023-09-01,12,429900,412500,-4.05,Condo,,"listing_scrape,nj_records"
1 SUNSET DRIVE,07006,North Caldwell,2023-08-02,2023-09-05,42,749000,775000,3.47,Single Family,,"listing_scrape,nj_records"
7 ETON DRIVE,07006,North Caldwell,2023-08-15,2023-10-06,68,1299000,1242500,-4.35,Single Family,,"listing_scrape,nj_records"
35 ESTELLA AVENUE,07006,North Caldwell,2023-06-07,2023-10-11,130,1595000,1550000,-2.82,Single Family,,"listing_scrape,nj_records"
5 SKYLINE DRIVE,07006,North Caldwell,2023-09-20,2023-11-15,67,899000,950000,5.67,Single Family,year_built,"listing_scrape,nj_records"
5 OLD FARM ROAD,07006,North Caldwell,2023-09-01,2023-11-21,87,1299900,1475000,13.47,Single Family,,"listing_scrape,nj_records"
45 CLEVELAND ST,07006,Caldwell,2023-11-02,2024-01-07,70,415000,460000,10.84,Single Family,,"listing_scrape,nj_records"
1 CANTERBURY DRIVE,07006,North Caldwell,2023-10-24,2024-01-12,93,910000,885000,-2.75,Single Family,,"listing_scrape,nj_records"
44 RAVINE AVE,07006,Caldwell,2023-12-08,2024-02-03,65,499900,560000,12.02,Single Family,,"listing_scrape,nj_records"
21 SMULL AVE,07006,Caldwell,2023-10-09,2024-02-07,125,549900,520000,-5.44,Single Family,,"listing_scrape,nj_records"
4 Central Ave Unit A,07006,Caldwell,2023-08-29,2024-02-09,168,690000,680000,-1.45,Condo,,"listing_scrape,nj_records"
27 ESPY RD UNIT A6,07006,Caldwell,2024-01-11,2024-02-12,41,449000,430000,-4.23,Condo,,"listing_scrape,nj_records"
50 HIGHVIEW RD,07006,Caldwell,2023-08-21,2024-02-16,190,665000,650000,-2.26,Single Family,,"listing_scrape,nj_records"
1 OAK GROVE RD UNIT 2D,07006,Caldwell,2024-02-20,2024-04-19,69,324700,330000,1.63,Condo,,"listing_scrape,nj_records"
27 ESPY RD UNIT A5,07006,Caldwell,2024-05-02,2024-06-11,45,349000,380000,8.88,Condo,,"listing_scrape,nj_records"
3 BYRON ROAD,07006,North Caldwell,2024-05-25,2024-07-02,43,1275000,1330000,4.31,Single Family,,"listing_scrape,nj_records"
19 HIGHLAND DRIVE,07006,North Caldwell,2024-06-05,2024-07-03,34,995000,950000,-4.52,Single Family,year_built,"listing_scrape,nj_records"
42 SMULL AVE,07006,Caldwell,2024-04-24,2024-07-19,91,749000,827500,10.48,Single Family,,"listing_scrape,nj_records"
54 GREEN PLACE,07006,North Caldwell,2024-06-05,2024-07-23,55,1299000,1340000,3.16,Single Family,,"listing_scrape,nj_records"
22 SUNSET DRIVE,07006,North Caldwell,2024-06-26,2024-08-09,50,1599999,1685000,5.31,Single Family,,"listing_scrape,nj_records"
249 PARK AVENUE,07006,North Caldwell,2024-06-19,2024-08-12,62,1125000,1250000,11.11,Single Family,,"listing_scrape,nj_records"
35 GRANDVIEW AVENUE,07006,North Caldwell,2024-06-13,2024-08-22,77,1000000,1055000,5.5,Single Family,,"listing_scrape,nj_records"
1 EDGEWOOD COURT,07006,North Caldwell,2024-05-30,2024-09-09,110,1350000,1250000,-7.41,Single Family,,"listing_scrape,nj_records"
316 STEPHANIE DRIVE,07006,North Caldwell,2024-08-01,2024-09-11,45,549900,523500,-4.8,Townhouse,,"listing_scrape,nj_records"
33-35 CLEVELAND ST,07006,Caldwell,2024-08-27,2024-11-07,89,800000,815000,1.88,Multi-Family,,"listing_scrape,nj_records"
175 GRANDVIEW AVENUE,07006,North Caldwell,2024-09-24,2024-11-11,55,998000,1050000,5.21,Single Family,,"listing_scrape,nj_records"
7 ASPEN DRIVE,07006,North Caldwell,2024-10-03,2024-11-20,54,1499900,1464900,-2.33,Single Family,,"listing_scrape,nj_records"
25 MOUNTAIN RIDGE DRIVE,07009,Cedar Grove,2023-06-07,2023-07-06,42,449000,495000,10.24,Townhouse,,"listing_scrape,nj_records"
86 SHERMAN AVENUE,07009,Cedar Grove,2023-04-30,2023-07-13,91,799900,805000,0.64,Single Family,,"listing_scrape,nj_records"
48 BENTLEY ROAD,07009,Cedar Grove,2023-06-07,2023-07-18,53,499000,568000,13.83,Single Family,,"listing_scrape,nj_records"
37 LITTLE FALLS ROAD,07009,Cedar Grove,2023-05-19,2023-08-02,82,524000,543968,3.81,Single Family,,"listing_scrape,nj_records"
8 ADELINA COURT,07009,Cedar Grove,2023-05-27,2023-08-08,79,800000,930000,16.25,Single Family,,"listing_scrape,nj_records"
1 LAFAYETTE DRIVE,07009,Cedar Grove,2023-09-10,2023-11-02,57,979000,1150000,17.47,Single Family,,"listing_scrape,nj_records"
235 GROVE AVENUE,07009,Cedar Grove,2023-09-12,2023-11-02,55,509900,532000,4.33,Single Family,,"listing_scrape,nj_records"
4 HILLTOP DRIVE,07009,Cedar Grove,2023-10-04,2023-11-16,56,549000,575000,4.74,Single Family,,"listing_scrape,nj_records"
68 MYRTLE AVENUE,07009,Cedar Grove,2023-11-10,2024-01-12,67,675000,720000,6.67,Single Family,,"listing_scrape,nj_records"
212 EILEEN DRIVE,07009,Cedar Grove,2023-08-21,2024-01-17,161,1199999,1150000,-4.17,Single Family,sold_price,"listing_scrape,nj_records"
39 SHERMAN AVENUE,07009,Cedar Grove,2024-02-20,2024-04-03,62,619000,653000,5.49,Single Family,,"listing_scrape,nj_records"
13 SUZANNE COURT,07009,Cedar Grove,2024-02-19,2024-04-11,45,1100000,994999,-9.55,Single Family,,"listing_scrape,nj_records"
27 BORTIC ROAD,07009,Cedar Grove,2024-03-05,2024-04-12,44,899000,1050000,16.8,Single Family,,"listing_scrape,nj_records"
549 FAIRVIEW AVENUE,07009,Cedar Grove,2024-02-29,2024-04-17,52,749000,815000,8.81,Single Family,,"listing_scrape,nj_records"
41 CATHERINE COURT,07009,Cedar Grove,2024-04-24,2024-06-05,54,674000,905316,34.32,Single Family,,"listing_scrape,nj_records"
42 LONGVIEW ROAD,07009,Cedar Grove,2024-03-19,2024-06-19,96,599900,600000,0.02,Single Family,year_built,"listing_scrape,nj_records"
196 WEST LINDSLEY ROAD,07009,Cedar Grove,2024-05-27,2024-07-03,42,579000,625000,7.94,Single Family,,"listing_scrape,nj_records"
424 RIDGE ROAD,07009,Cedar Grove,2024-05-13,2024-07-23,78,550000,620000,12.73,Single Family,,"listing_scrape,nj_records"
3 HIGHPOINT,07009,Cedar Grove,2024-07-23,2024-09-13,61,589995,640000,8.48,Condo,,"listing_scrape,nj_records"
2 MOUNTAIN RIDGE DRIVE,07009,Cedar Grove,2024-08-08,2024-11-13,104,594500,620500,4.37,Townhouse,,"listing_scrape,nj_records"
586 LUDLOW AVE,07016,Cranford,2023-06-13,2023-07-07,30,629900,724000,14.94,Single Family,,"listing_scrape,nj_records"
353 CENTENNIAL AVE,07016,Cranford,2023-05-28,2023-07-13,63,389900,425000,9.0,Single Family,,"listing_scrape,nj_records"
11 HEMLOCK CIR,07016,Cranford,2023-06-15,2023-08-02,55,649900,667000,2.63,Single Family,,"listing_scrape,nj_records"
728 WILLOW ST,07016,Cranford,2023-06-06,2023-08-04,78,899000,985000,9.57,Single Family,,"listing_scrape,nj_records"
78 BENJAMIN ST,07016,Cranford,2023-06-17,2023-08-07,57,795000,872000,9.69,Single Family,year_built,"listing_scrape,nj_records"
321 NORTH AVE E UNIT 119,07016,Cranford,2023-06-30,2023-08-11,47,525000,505000,-3.81,Condo,,"listing_scrape,nj_records"
318 UNION AVE S,07016,Cranford,2023-07-07,2023-08-22,51,1199000,1210000,0.92,Single Family,,"listing_scrape,nj_records"
213 BEECH ST,07016,Cranford,2023-05-16,2023-08-24,106,859000,950000,10.59,Single Family,,"listing_scrape,nj_records"
230 DENMAN RD,07016,Cranford,2023-05-29,2023-08-25,93,724900,735000,1.39,Single Family,,"listing_scrape,nj_records"
2 BALDWIN CT,07016,Cranford,2023-06-20,2023-09-13,93,599000,629000,5.01,Single Family,,"listing_scrape,nj_records"
41 GEORGIA ST,07016,Cranford,2023-07-25,2023-09-13,54,649900,680000,4.63,Single Family,,"listing_scrape,nj_records"
32 COLUMBIA AVE,07016,Cranford,2023-09-07,2023-10-06,34,450000,552425,22.76,Single Family,,"listing_scrape,nj_records"
131 HILLCREST AVE,07016,Cranford,2023-09-06,2023-10-07,36,450000,500000,11.11,Single Family,,"listing_scrape,nj_records"
38 ROSELLE AVE,07016,Cranford,2023-09-22,2023-10-24,37,599000,600000,0.17,Single Family,,"listing_scrape,nj_records"
211 BEECH ST,07016,Cranford,2023-09-20,2023-11-04,54,999000,999000,0.0,Single Family,,"listing_scrape,nj_records"
17 BUCHANAN ST,07016,Cranford,2023-09-21,2023-11-08,53,450000,450000,0.0,Single Family,,"listing_scrape,nj_records"
12 Alan O Kell Pl,07016,Cranford,2023-10-18,2023-11-21,39,525000,560000,6.67,Single Family,,"listing_scrape,nj_records"
683 GALLOWS HILL RD,07016,Cranford,2023-09-06,2023-11-22,84,679000,750000,10.46,Single Family,,"listing_scrape,nj_records"
5 OMAHA DR,07016,Cranford,2023-08-30,2023-12-05,105,619000,600000,-3.07,Single Family,,"listing_scrape,nj_records"
12 HICKORY ST,07016,Cranford,2023-10-12,2023-12-07,61,749900,830000,10.68,Single Family,,"listing_scrape,nj_records"
321 NORTH AVE E UNIT 115,07016,Cranford,2023-11-09,2023-12-22,47,500000,527000,5.4,Condo,,"listing_scrape,nj_records"
3 MYRTLE ST,07016,Cranford,2023-10-23,2024-01-11,85,355000,340000,-4.23,Single Family,,"listing_scrape,nj_records"
133 DIETZ ST,07016,Cranford,2023-06-13,2024-02-02,245,1099000,1030000,-6.28,Single Family,,"listing_scrape,nj_records"
3 HAYES ST,07016,Cranford,2023-09-24,2024-02-09,150,649900,630000,-3.06,Single Family,,"listing_scrape,nj_records"
7 WEST END PL,07016,Cranford,2024-02-08,2024-03-05,35,419000,419000,0.0,Townhouse,,"listing_scrape,nj_records"
6 LENOX AVE,07016,Cranford,2024-02-20,2024-04-05,56,735000,850000,15.65,Single Family,,"listing_scrape,nj_records"
6 LEXINGTON AVE,07016,Cranford,2024-02-21,2024-04-10,55,595000,650000,9.24,Single Family,,"listing_scrape,nj_records"
1 BALMIERE PKWY,07016,Cranford,2024-04-17,2024-06-03,56,739000,755000,2.17,Single Family,,"listing_scrape,nj_records"
130 OAK LN,07016,Cranford,2024-03-01,2024-06-19,116,615000,703250,14.35,Single Family,,"listing_scrape,nj_records"
36 BROOKDALE RD,07016,Cranford,2024-05-15,2024-06-19,42,925000,999000,8.0,Single Family,year_built,"listing_scrape,nj_records"
7 SUMMIT RD,07016,Cranford,2024-06-11,2024-07-09,37,1095000,1150000,5.02,Single Family,,"listing_scrape,nj_records"
15 HAYES ST,07016,Cranford,2024-06-14,2024-07-19,46,499000,520000,4.21,Single Family,,"listing_scrape,nj_records"
2 DORCHESTER AVE,07016,Cranford,2024-07-08,2024-08-02,37,649900,775000,19.25,Single Family,,"listing_scrape,nj_records"
28 COLUMBIA AVE,07016,Cranford,2024-05-18,2024-08-05,86,679000,679000,0.0,Single Family,,"listing_scrape,nj_records"
354 LINCOLN AVE E,07016,Cranford,2024-06-18,2024-08-05,55,975000,999999,2.56,Multi-Family,,"listing_scrape,nj_records"
352 UNION AVE S,07016,Cranford,2024-06-27,2024-08-07,56,649000,785000,20.96,Single Family,,"listing_scrape,nj_records"
19 DOERING WAY,07016,Cranford,2024-07-31,2024-08-20,29,799000,950000,18.9,Single Family,,"listing_scrape,nj_records"
4 CAROLINA ST,07016,Cranford,2024-06-17,2024-08-21,73,749000,800000,6.81,Single Family,,"listing_scrape,nj_records"
320 WALNUT AVENUE,07016,Cranford,2024-07-11,2024-09-03,59,1150000,1150000,0.0,Single Family,,"listing_scrape,nj_records"
610 RIVERSIDE DR,07016,Cranford,2024-07-02,2024-09-10,79,899000,950000,5.67,Single Family,,"listing_scrape,nj_records"
626 LINCOLN PARK E,07016,Cranford,2024-07-12,2024-09-11,66,999900,1057000,5.71,Single Family,,"listing_scrape,nj_records"
107 HILLCREST AVE,07016,Cranford,2024-08-01,2024-09-20,59,879900,999999,13.65,Single Family,,"listing_scrape,nj_records"
7 YARMOUTH RD,07016,Cranford,2024-07-25,2024-10-01,82,775000,900000,16.13,Single Family,,"listing_scrape,nj_records"
10 RICHMOND AVE,07016,Cranford,2024-08-07,2024-10-04,54,599000,651000,8.68,Single Family,,"listing_scrape,nj_records"
34 NOMAHEGAN CT,07016,Cranford,2024-08-08,2024-10-10,68,749000,826000,10.28,Single Family,,"listing_scrape,nj_records"
174-174 Baltimore Ave,07016,Cranford,2024-08-15,2024-10-16,76,749900,750000,0.01,Single Family,,"listing_scrape,nj_records"
104 RIDGE ST,07016,Cranford,2024-09-25,2024-10-18,28,739900,800000,8.12,Single Family,,"listing_scrape,nj_records"
118 ROOSEVELT AVE,07016,Cranford,2024-08-02,2024-11-16,111,699000,692000,-1.0,Multi-Family,,"listing_scrape,nj_records"
613 BROOKSIDE PL,07016,Cranford,2024-10-31,2024-12-02,39,615000,706000,14.8,Single Family,,"listing_scrape,nj_records"
311 LINCOLN PARK E,07016,Cranford,2024-11-14,2024-12-04,24,340000,345000,1.47,Condo,,"listing_scrape,nj_records"
324 UNION AVE N,07016,Cranford,2024-10-08,2024-12-05,72,1150000,1150000,0.0,Single Family,,"listing_scrape,nj_records"
63 UNION AVE S,07016,Cranford,2024-10-17,2024-12-11,60,739999,775000,4.73,Multi-Family,,"listing_scrape,nj_records"
200 ROSELAND AVENUE,07021,Essex Fells,2024-03-18,2024-04-21,38,829000,1051000,26.78,Multi-Family,,"listing_scrape,nj_records"
36 BUTTONWOOD ROAD,07021,Essex Fells,2024-05-20,2024-07-10,55,1150000,1200000,4.35,Multi-Family,,"listing_scrape,nj_records"
19 BIRCHWOOD TER,07023,Fanwood,2023-06-05,2023-07-07,37,599000,670000,11.85,Single Family,,"listing_scrape,nj_records"
7 GLENWOOD RD,07023,Fanwood,2023-04-06,2023-07-07,98,599900,675000,12.52,Single Family,,"listing_scrape,nj_records"
146 FARLEY AVE,07023,Fanwood,2023-06-03,2023-07-15,47,610000,670000,9.84,Single Family,,"listing_scrape,nj_records"
52 GLENWOOD RD,07023,Fanwood,2023-06-06,2023-07-18,50,687000,730000,6.26,Single Family,,"listing_scrape,nj_records"
391 NORTH AVE,07023,Fanwood,2023-06-16,2023-08-03,60,460000,520000,13.04,Single Family,,"listing_scrape,nj_records"
46 MONTROSE AVE,07023,Fanwood,2023-07-19,2023-08-23,41,749000,770000,2.8,Single Family,,"listing_scrape,nj_records"
16 MONTROSE AVE,07023,Fanwood,2023-09-08,2023-10-05,31,729900,830000,13.71,Single Family,year_built,"listing_scrape,nj_records"
131 BURNS WAY,07023,Fanwood,2023-09-06,2023-10-10,50,649900,648000,-0.29,Single Family,,"listing_scrape,nj_records"
257 TERRILL RD,07023,Fanwood,2023-08-09,2023-10-13,71,375000,405000,8.0,Single Family,,"listing_scrape,nj_records"
35 STAGAARD PLACE,07023,Fanwood,2023-09-22,2023-10-23,38,520000,600000,15.38,Single Family,,"listing_scrape,nj_records"
74 MONTROSE AVE,07023,Fanwood,2023-10-21,2023-12-21,68,725000,740000,2.07,Single Family,year_built,"listing_scrape,nj_records"
100 N GLENWOOD RD,07023,Fanwood,2023-08-30,2024-01-04,145,569900,540000,-5.25,Single Family,,"listing_scrape,nj_records"
35 POPLAR PL,07023,Fanwood,2024-02-02,2024-03-07,38,599000,635000,6.01,Single Family,,"listing_scrape,nj_records"
57 SHADY LANE,07023,Fanwood,2024-02-10,2024-03-15,40,599000,702000,17.2,Single Family,,"listing_scrape,nj_records"
2 CLEMENT PL,07023,Fanwood,2024-04-28,2024-06-12,49,675000,695000,2.96,Single Family,,"listing_scrape,nj_records"
174 HERBERT AVE,07023,Fanwood,2024-05-24,2024-06-18,34,545000,585000,7.34,Single Family,,"listing_scrape,nj_records"
234 CORIELL AVE,07023,Fanwood,2024-04-25,2024-06-18,61,769900,825000,7.16,Single Family,,"listing_scrape,nj_records"
81 ARLENE COURT,07023,Fanwood,2024-04-23,2024-07-01,75,769000,770000,0.13,Single Family,,"listing_scrape,nj_records"
13 OAK COURT,07023,Fanwood,2024-05-13,2024-07-17,70,599000,665413,11.09,Single Family,,"listing_scrape,nj_records"
47 MONTROSE AVE,07023,Fanwood,2024-05-08,2024-07-17,74,799000,935000,17.02,Single Family,,"listing_scrape,nj_records"
163 HUNTER AVE,07023,Fanwood,2024-04-17,2024-07-25,104,1199000,1325000,10.51,Single Family,year_built,"listing_scrape,nj_records"
160 NORTH AVE,07023,Fanwood,2024-06-15,2024-08-06,72,1199999,1230000,2.5,Single Family,year_built,"listing_scrape,nj_records"
13 NICHOLS CT,07023,Fanwood,2024-06-18,2024-08-14,68,949000,939000,-1.05,Single Family,,"listing_scrape,nj_records"
73 ARLENE COURT,07023,Fanwood,2024-06-20,2024-08-15,62,730000,741000,1.51,Single Family,,"listing_scrape,nj_records"
101 NORTH AVE,07023,Fanwood,2024-06-14,2024-09-05,93,1099000,1210100,10.11,Single Family,,"listing_scrape,nj_records"
92 N GLENWOOD RD,07023,Fanwood,2024-09-01,2024-10-23,56,689000,750000,8.85,Single Family,,"listing_scrape,nj_records"
512 SPRUCE AVE,07027,Garwood,2023-02-10,2023-07-11,160,373500,380000,1.74,Multi-Family,,"listing_scrape,nj_records"
522 WILLOW AVE,07027,Garwood,2023-06-30,2023-09-07,74,890000,880000,-1.12,Multi-Family,,"listing_scrape,nj_records"
164 MYRTLE AVE,07027,Garwood,2023-07-21,2023-09-11,65,535000,570000,6.54,Single Family,,"listing_scrape,nj_records"
625 MYRTLE AVE,07027,Garwood,2023-08-01,2023-09-13,49,429900,429900,0.0,Single Family,,"listing_scrape,nj_records"
123 WILLOW AVE,07027,Garwood,2023-08-19,2023-10-19,66,539000,559000,3.71,Single Family,,"listing_scrape,nj_records"
347 LOCUST AVE,07027,Garwood,2023-10-26,2024-01-19,94,519000,510000,-1.73,Single Family,,"listing_scrape,nj_records"
323 HAZEL AVE,07027,Garwood,2024-03-15,2024-04-17,39,565000,652000,15.4,Single Family,,"listing_scrape,nj_records"
446 BEECH AVE,07027,Garwood,2024-08-14,2024-09-10,46,675000,731000,8.3,Single Family,,"listing_scrape,nj_records"
254 RIDGEWOOD AVENUE,07028,Glen Ridge,2023-05-29,2023-07-21,59,1679000,1825000,8.7,Single Family,year_built,"listing_scrape,nj_records"
306 MAOLIS AVENUE,07028,Glen Ridge,2023-06-15,2023-08-03,66,799000,830000,3.88,Single Family,,"listing_scrape,nj_records"
460 RIDGEWOOD AVENUE,07028,Glen Ridge,2023-05-06,2023-08-06,96,1990000,2000000,0.5,Single Family,year_built,"listing_scrape,nj_records"
2 SPENCER ROAD,07028,Glen Ridge,2023-07-07,2023-08-11,41,625000,725000,16.0,Single Family,,"listing_scrape,nj_records"
6 CLARK STREET,07028,Glen Ridge,2023-07-10,2023-08-14,42,549000,710000,29.33,Single Family,,"listing_scrape,nj_records"
83 WINSOR PLACE,07028,Glen Ridge,2023-06-05,2023-08-14,86,1129000,1428000,26.48,Single Family,year_built,"listing_scrape,nj_records"
7 LAUREL PLACE,07028,Glen Ridge,2023-07-30,2023-08-23,30,995000,1200000,20.6,Single Family,year_built,"listing_scrape,nj_records"
77-79 GLEN RIDGE AVENUE,07028,Glen Ridge,2023-08-11,2023-10-03,59,769900,769900,0.0,Multi-Family,,"listing_scrape,nj_records"
28 HAWTHORNE AVENUE,07028,Glen Ridge,2023-08-31,2023-10-25,59,429000,585000,36.36,Single Family,,"listing_scrape,nj_records"
300 FOREST AVENUE,07028,Glen Ridge,2023-09-18,2023-11-02,49,1599000,1650000,3.19,Single Family,,"listing_scrape,nj_records"
46 ESSEX AVENUE,07028,Glen Ridge,2023-11-19,2024-01-08,56,789000,999999,26.74,Single Family,,"listing_scrape,nj_records"
15 SOMMER AVENUE,07028,Glen Ridge,2024-01-19,2024-03-21,68,599000,852500,42.32,Single Family,,"listing_scrape,nj_records"
64 HAWTHORNE AVENUE,07028,Glen Ridge,2024-04-25,2024-06-05,45,849000,1210000,42.52,Single Family,,"listing_scrape,nj_records"
76 HIGH STREET,07028,Glen Ridge,2024-04-16,2024-06-12,65,649000,1050000,61.79,Single Family,,"listing_scrape,nj_records"
23 HIGH STREET,07028,Glen Ridge,2024-04-16,2024-06-19,72,749000,995000,32.84,Single Family,year_built,"listing_scrape,nj_records"
215 LINDEN AVENUE,07028,Glen Ridge,2024-05-31,2024-07-19,53,1395000,1325000,-5.02,Single Family,,"listing_scrape,nj_records"
246 WASHINGTON STREET,07028,Glen Ridge,2024-05-20,2024-07-19,69,769000,940000,22.24,Single Family,,"listing_scrape,nj_records"
218 STONEHOUSE ROAD,07028,Glen Ridge,2024-06-03,2024-07-26,57,749000,935000,24.83,Single Family,,"listing_scrape,nj_records"
92 OXFORD STREET,07028,Glen Ridge,2024-06-18,2024-08-02,63,839000,1470000,75.21,Single Family,,"listing_scrape,nj_records"
38 HERMAN STREET,07028,Glen Ridge,2024-06-14,2024-08-08,61,679000,900000,32.55,Single Family,,"listing_scrape,nj_records"
6 HATHAWAY PLACE,07028,Glen Ridge,2024-07-02,2024-08-15,57,739000,999999,35.32,Single Family,year_built,"listing_scrape,nj_records"
147 LINDEN AVENUE,07028,Glen Ridge,2024-07-25,2024-08-17,31,799000,999999,25.16,Single Family,,"listing_scrape,nj_records"
217 LINDEN AVENUE,07028,Glen Ridge,2024-07-17,2024-08-22,41,785000,1075000,36.94,Single Family,,"listing_scrape,nj_records"
13 SPALDING DR,07039,Livingston,2023-05-16,2023-07-05,54,588000,692000,17.69,Single Family,,"listing_scrape,nj_records"
1308 Town Center Way Unit 308,07039,Livingston,2023-06-06,2023-07-06,41,620000,651000,5.0,Condo,,"listing_scrape,nj_records"
57 HAVENWOOD DRIVE,07039,Livingston,2023-05-19,2023-07-14,69,999000,1055000,5.61,Single Family,,"listing_scrape,nj_records"
31 E CEDAR ST,07039,Livingston,2023-05-12,2023-07-21,75,899999,840000,-6.67,Single Family,,"listing_scrape,nj_records"
12 PARK DR,07039,Livingston,2023-06-08,2023-07-25,52,695000,760000,9.35,Single Family,year_built,"listing_scrape,nj_records"
6 THAMES DRIVE,07039,Livingston,2023-03-31,2023-07-26,121,2189000,2227000,1.74,Single Family,lot_sqft,"listing_scrape,nj_records"
605 BINGHAMPTON LANE,07039,Livingston,2023-05-29,2023-08-03,80,715000,745000,4.2,Condo,,"listing_scrape,nj_records"
