close_month,month_num,sales_all,n_lag,median_days_list_to_close,pct_listed_same_month,pct_listed_1mo_before,pct_listed_2mo_before,pct_listed_3mo_before,pct_listed_4mo_or_more_before,pct_fresh,pct_aged,thin
Jan,1,3003,1451,77,1.0,11.9,36.5,28.6,22.1,12.9,87.1,
Feb,2,2450,1185,74,2.2,23.8,26.2,19.9,27.8,26.0,74.0,
Mar,3,2944,1605,58,1.9,23.4,46.6,10.3,17.8,25.3,74.7,
Apr,4,3374,1886,57,2.0,26.9,42.4,17.7,11.1,28.9,71.1,
May,5,4067,1613,55,2.8,26.7,50.0,12.3,8.2,29.4,70.6,
Jun,6,4923,3022,61,1.7,21.1,49.6,18.7,8.9,22.8,77.2,
Jul,7,6995,3968,63,1.5,20.4,45.0,22.9,10.2,21.9,78.1,
Aug,8,6793,3937,64,1.3,19.0,45.8,22.3,11.7,20.3,79.7,
Sep,9,4356,2458,64,1.2,15.5,45.9,22.5,14.9,16.7,83.3,
Oct,10,4001,2010,63,1.1,26.5,34.8,22.7,14.9,27.6,72.4,
Nov,11,3796,1985,62,0.8,20.9,46.1,18.0,14.2,21.7,78.3,
Dec,12,3814,1842,64,1.8,15.1,44.5,24.4,14.2,16.9,83.1,
