month,month_num,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Jan,1,3003,1576,689000,715000,1.83,11000,3.71,26588,39.0,77,
Feb,2,2450,1262,689000,700000,1.56,10000,3.65,26819,40.8,76,
Mar,3,2944,1681,699900,746500,4.1,25100,5.9,48663,31.2,58,
Apr,4,3374,1958,725000,765500,5.33,35000,7.14,58770,25.3,57,
May,5,4067,2484,749900,810000,6.06,40475,7.98,69185,23.7,55,
Jun,6,4923,3125,775000,835000,5.93,41000,7.54,68396,23.5,61,
Jul,7,6995,4093,769000,820000,5.18,35100,6.94,59062,25.3,64,
Aug,8,6793,4078,755000,801000,4.35,29117,6.08,51533,28.5,65,
Sep,9,4356,2546,699950,750000,3.53,21000,4.81,34617,32.2,64,
Oct,10,4001,2137,699000,726000,2.96,19000,4.46,31590,34.3,64,
Nov,11,3796,2057,699000,735000,2.92,20000,4.75,34949,33.7,63,
Dec,12,3814,2122,699999,740500,2.38,15000,4.33,32355,37.1,64,
