month,month_num,year,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Jan,1,2024,863,395,675000,680000,1.29,10000,3.42,18983,40.5,77,
Jan,1,2025,834,492,699000,735000,2.75,19000,4.36,30532,33.7,76,
Jan,1,2026,797,479,749000,767000,1.25,9000,3.38,31003,44.3,77,
Feb,2,2024,773,365,665000,685000,1.8,11000,4.3,28701,40.3,67,
Feb,2,2025,635,383,689000,700000,1.39,10000,3.05,20953,41.3,77,
Feb,2,2026,656,366,749950,775000,1.29,7750,3.69,34495,42.6,78,
Mar,3,2024,948,484,699000,730000,4.4,25750,5.82,42544,30.6,58,
Mar,3,2025,764,487,735000,780000,4.93,32333,7.05,60982,29.2,57,
Mar,3,2026,814,508,731500,765500,2.81,18850,5.3,49232,35.2,57,
Apr,4,2024,1180,632,725000,780000,6.0,35100,7.68,61627,25.0,57,
Apr,4,2025,893,557,750000,822099,5.65,41000,7.83,64766,24.6,57,
Apr,4,2026,806,532,754950,800000,4.35,30000,6.57,60421,27.3,58,
May,5,2024,1313,717,740056,810000,7.73,50100,8.81,69454,21.1,60,
May,5,2025,1104,729,798000,850000,6.02,40450,8.27,73826,23.2,57,
May,5,2026,1082,768,799950,876000,5.76,45000,8.03,78431,25.3,57,
Jun,6,2024,1491,830,769900,830000,7.36,50050,8.42,70703,19.3,62,
Jun,6,2025,1313,911,799000,868500,6.0,46000,7.9,72112,23.5,62,
Jun,6,2026,1457,1062,829000,891500,4.55,35000,6.93,71169,26.9,61,
Jul,7,2023,1634,785,699000,750000,5.3,31000,6.48,47202,23.1,64,
Jul,7,2024,1600,909,775000,827500,6.52,46000,7.52,61045,23.1,64,
Jul,7,2025,1337,897,800000,876000,5.11,35000,7.17,65763,27.2,63,
Jul,7,2026,599,533,869900,924900,5.89,50000,8.02,83324,24.2,63,
Aug,8,2023,1638,868,729000,760000,5.05,31000,6.39,50222,25.0,64,
Aug,8,2024,1584,958,789000,840000,5.66,40000,7.23,62789,24.3,63,
Aug,8,2025,1256,844,789000,835500,3.87,25000,5.19,44728,32.6,65,
Sep,9,2023,1196,624,699000,725000,4.01,25000,5.21,36422,29.5,62,
Sep,9,2024,1098,647,715000,760000,4.41,26000,5.54,38422,28.4,65,
Sep,9,2025,1059,684,765000,800000,2.28,15000,3.97,29275,37.4,66,
Oct,10,2023,1149,557,639000,660000,3.06,16000,4.08,24106,33.9,62,
Oct,10,2024,1123,604,699000,740000,3.07,20000,4.65,31198,32.0,65,
Oct,10,2025,1054,693,750000,800000,2.56,15100,4.58,38998,38.0,62,
Nov,11,2023,1077,558,681500,720000,3.38,21000,5.21,35313,31.9,61,
Nov,11,2024,1154,628,727000,757500,3.19,22050,5.0,37948,31.7,62,
Nov,11,2025,929,623,749000,780000,2.08,16000,4.66,38364,36.6,63,
Dec,12,2023,1052,554,699000,725750,2.73,15001,4.54,30089,37.5,62,
Dec,12,2024,1074,608,700000,752250,2.75,17500,4.43,31692,34.4,63,
Dec,12,2025,1118,720,752500,800000,1.54,10000,4.44,38240,41.0,67,
