month,month_num,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Jan,1,647,644,769000,814750,2.69,20000,5.24,46296,36.2,64,
Feb,2,875,865,795000,849000,5.13,35100,7.29,68320,26.6,60,
Mar,3,1193,1177,825000,900000,6.86,51000,9.14,86244,21.2,61,
Apr,4,1422,1408,848000,910000,6.1,50000,8.17,79151,22.5,61,
May,5,1600,1578,849000,922500,6.66,51000,8.91,87130,21.0,58,
Jun,6,948,945,799900,870000,5.41,36000,7.05,64162,24.3,56,
Jul,7,680,677,799000,839000,3.53,21000,4.61,33748,35.3,63,
Aug,8,510,510,750000,803000,2.6,18000,4.32,30228,36.9,63,
Sep,9,564,563,799000,830000,3.18,25000,5.41,52587,34.3,62,
Oct,10,717,710,799999,854000,2.11,15000,4.79,43345,39.7,68,
Nov,11,648,645,779000,815000,2.34,16000,4.57,36658,37.1,73,
Dec,12,591,588,725000,748656,1.2,6250,3.05,20592,43.4,73,
