month,month_num,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Jan,1,2494,1366,699900,727750,1.81,11000,3.75,27358,39.4,77,
Feb,2,2064,1114,699000,710000,1.56,10000,3.67,27941,41.4,75,
Mar,3,2526,1479,725000,765000,4.01,25001,6.05,50912,31.7,57,
Apr,4,2879,1721,749000,800000,5.38,35000,7.39,62270,25.6,57,
May,5,3499,2214,780000,841500,6.46,46000,8.36,74007,23.2,57,
Jun,6,4261,2803,799000,861000,5.94,45000,7.69,71337,23.5,61,
Jul,7,5170,3124,787000,843750,5.62,40000,7.24,62722,24.5,64,
Aug,8,4478,2670,761000,811000,4.75,30001,6.32,52994,27.2,64,
Sep,9,3353,1955,715000,755000,3.62,22000,4.88,34583,31.9,64,
Oct,10,3326,1854,699900,739000,2.9,18000,4.45,31983,34.8,63,
Nov,11,3160,1809,700500,752000,3.02,20100,4.94,37278,33.4,62,
Dec,12,3244,1882,725000,755148,2.32,15000,4.47,33725,37.8,64,
