town,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Basking Ridge,398,398,838250,861826,2.83,20550,3.83,33769,31.4,62,
Bedminster,190,190,496500,504000,2.44,11000,3.14,15850,34.2,53,
Berkeley Heights,173,173,829000,890000,6.74,51013,7.51,66515,23.1,58,
Bernardsville,109,109,949000,1050000,2.9,25000,2.81,-782,41.3,62,
Boonton,168,167,675000,715000,2.67,20000,4.43,28088,31.1,63,
Branchburg,251,250,599900,630000,1.92,10300,2.69,16297,40.0,61,
Bridgewater,430,430,650000,697500,2.59,16000,3.53,23733,34.0,62,
Caldwell,208,208,750000,812500,6.14,46500,7.92,61136,25.5,62,
Cedar Grove,112,112,722500,790000,9.39,65550,8.73,59485,15.2,58,
Cedar Knolls,39,39,735000,765000,5.15,35100,6.02,48265,23.1,63,
Chatham,278,278,1299000,1500000,6.55,85500,9.0,117793,25.9,61,
Chester,126,125,924900,950000,1.96,20100,2.81,17390,40.8,67,
Clark,117,117,699000,735000,3.83,25000,2.95,18640,26.5,65,
Colonia,56,56,599900,632500,4.7,30100,4.82,28724,21.4,66,
Cranford,237,237,749900,800000,5.4,36000,6.53,48692,23.2,56,
Denville,269,265,650000,687500,4.01,25000,4.58,28756,30.2,62,
East Hanover,99,99,829000,875000,4.46,38000,5.57,47687,24.2,62,
Edison,134,134,649000,660000,1.42,10000,2.61,17118,39.6,68,
Essex Fells,23,23,1599000,1505000,-1.18,-10000,0.78,-17039,56.5,67,
Fanwood,96,96,749000,810000,6.91,52500,7.35,55894,21.9,60,
Florham Park,115,115,1049000,1071000,3.45,31000,4.58,41050,33.9,59,
Franklin Lakes,49,49,1679000,1750000,0.0,0,2.92,3351,53.1,98,
Garwood,52,52,677000,700000,3.12,20300,2.48,17252,32.7,62,
Gillette,48,48,649750,682500,2.19,15500,4.05,33144,39.6,65,
Glen Ridge,129,110,899000,1137500,22.27,219792,20.65,217829,10.9,58,
Glen Rock,65,65,939000,1085000,11.23,101000,12.31,115506,12.3,59,
Green Brook,135,135,564900,580000,1.61,10001,2.65,13497,40.7,66,
Livingston,301,301,1080000,1175000,2.26,25000,5.05,45515,39.5,68,
Long Valley,150,150,725000,735000,3.23,17750,2.87,17289,33.3,62,
Madison,172,171,1149000,1278000,6.67,64000,9.04,96092,25.1,65,
Maplewood,343,341,859000,1055000,11.51,107000,14.64,139222,13.8,54,
Martinsville,51,51,825000,855000,2.65,25000,2.86,17759,39.2,62,
Mendham,180,180,1150000,1200000,0.0,0,2.12,10606,52.2,70,
Metuchen,56,56,683500,716500,6.15,38000,7.01,51903,25.0,60,
Millburn,87,86,1295000,1408000,6.34,65500,7.44,82822,31.4,62,
Millington,43,43,849000,875000,3.06,26000,4.24,38367,27.9,62,
Montclair,446,403,1050000,1275000,17.81,192000,18.22,208694,13.9,58,
Montville,146,146,764000,792750,3.88,30458,4.25,32678,29.5,69,
Morris Plains,232,231,719000,735000,2.7,16000,4.6,33459,29.4,61,
Morristown,472,471,799900,860000,3.94,31000,5.5,48206,32.7,63,
Mountain Lakes,64,64,1199000,1207500,4.89,45500,6.13,60416,37.5,78,
Mountainside,78,78,949009,1022625,4.35,41525,6.24,65077,33.3,65,
New Providence,160,160,899000,1031750,8.96,76000,9.19,93617,23.1,56,
Nutley,238,238,611500,656250,4.14,20000,5.09,30156,27.7,65,
Randolph,283,283,750000,805000,3.67,26000,5.01,38589,27.9,64,
Roseland,46,46,757000,765000,4.29,35500,5.63,42076,26.1,60,
Scotch Plains,261,261,875000,930000,4.79,36000,6.65,61524,28.7,62,
Short Hills,181,180,2295000,2411500,3.04,55000,5.24,85006,40.6,70,
South Orange,214,212,972000,1127500,10.63,98500,12.49,130730,15.1,62,
South Plainfield,91,91,550000,570000,2.71,15001,2.86,17105,26.4,66,
Springfield,180,180,642000,675000,3.91,21500,4.95,32653,27.2,62,
Stirling,22,22,687000,692500,4.37,28500,4.69,36014,27.3,56,
Summit,282,282,1300000,1492500,10.15,125000,10.77,147484,23.8,59,
Towaco,68,68,739450,764000,1.57,13050,3.59,37539,38.2,63,
Verona,199,195,675000,785000,7.52,45001,9.99,76864,27.2,61,
Warren,208,207,1199000,1200000,0.0,0,0.84,1600,58.5,76,
Watchung,68,68,1025000,1155000,2.52,26550,3.23,31112,42.6,64,
West Orange,516,514,639500,687000,7.7,46550,8.44,56634,20.0,62,
Westfield,400,400,1150000,1300000,7.15,78500,8.87,97349,21.5,56,
Woodbridge,51,51,489000,515000,3.38,20000,4.2,17193,25.5,59,
