month,month_num,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Jan,1,938,933,749999,795000,2.61,17000,5.03,41636,36.9,65,
Feb,2,1300,1287,779900,832000,5.3,36000,7.48,65859,26.0,59,
Mar,3,1703,1684,825000,895500,6.88,51000,8.89,82271,22.6,59,
Apr,4,1879,1860,849000,920000,6.5,50001,8.24,79180,22.4,65,
May,5,2662,2627,825000,905000,6.94,51000,8.71,81129,20.3,62,
Jun,6,2272,2264,799000,852750,5.66,40000,7.24,61252,24.6,60,
Jul,7,1796,1788,750000,800000,4.2,26000,5.52,42101,29.3,61,
Aug,8,1559,1556,728750,760000,3.43,22000,4.72,32138,32.3,61,
Sep,9,1453,1446,749000,783750,3.67,25001,5.51,45874,30.4,61,
Oct,10,1659,1644,775000,815500,3.06,20100,5.12,40114,35.5,62,
Nov,11,1224,1220,729950,775000,2.67,17750,4.67,35342,35.9,66,
Dec,12,865,861,699900,720000,0.95,6000,2.89,18691,44.5,73,
