town,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Basking Ridge,1177,858,839450,875000,4.01,26000,5.09,40192,26.8,59,
Bedminster,596,381,479900,495000,3.17,15000,3.86,10252,31.0,54,
Berkeley Heights,510,336,799000,850000,6.23,46000,6.97,58955,24.4,58,
Bernardsville,373,254,925000,992050,1.72,13000,2.28,-4923,44.9,64,
Boonton,556,340,644450,672500,2.67,18000,4.35,24969,32.1,63,
Branchburg,807,538,569950,595250,3.13,16000,3.91,22171,32.3,61,
Bridgewater,1362,908,650000,695000,3.0,20000,3.66,24764,32.3,62,
Caldwell,617,311,710000,766000,5.04,31000,6.85,48618,28.3,64,
Cedar Grove,478,219,699000,750000,7.16,51000,7.55,52308,18.7,59,
Cedar Knolls,91,77,625000,635000,4.38,25000,5.04,35512,26.0,62,
Chatham,968,603,1199000,1375000,5.62,56000,7.6,92692,30.2,63,
Chester,417,263,919900,950000,1.96,20000,3.12,24428,38.8,70,
Clark,487,245,675000,670000,3.51,20100,3.21,18907,29.4,62,
Colonia,606,428,599000,620000,2.78,15272,3.86,20848,31.1,70,
Cranford,840,457,725000,770000,5.04,33000,6.11,44116,23.9,56,
Denville,971,499,600000,640000,4.08,25000,4.48,27784,29.1,62,
East Hanover,574,186,789000,832500,4.54,33505,5.12,42405,25.3,61,
Edison,2840,1753,585000,605000,2.33,12000,3.31,17789,35.4,68,
Essex Fells,90,38,1499000,1500000,-0.59,-5000,1.69,-14945,60.5,66,
Fanwood,270,193,700000,760000,6.39,38325,6.77,48438,21.8,61,
Florham Park,475,252,937000,997000,2.65,25000,4.31,37265,37.7,64,
Franklin Lakes,329,93,1595000,1520000,0.0,0,2.14,3997,51.6,92,
Garwood,178,103,649000,680000,3.14,20000,3.84,24885,31.1,62,
Gillette,136,93,640000,650000,2.24,15000,3.97,30578,38.7,64,
Glen Ridge,335,211,849000,1100000,21.9,191000,19.65,193511,12.8,58,
Glen Rock,385,148,899000,1020000,10.16,90350,10.87,100989,14.9,60,
Green Brook,499,348,525250,549950,2.1,11000,3.15,14327,37.1,69,
Livingston,1411,643,999999,1120000,2.21,25000,4.97,43239,39.5,67,
Long Valley,495,323,679000,714000,3.54,25000,4.0,24979,30.7,62,
Madison,537,351,1017000,1150000,4.76,50000,7.29,75111,29.6,64,
Maplewood,1027,685,849000,990000,10.02,85000,12.59,115736,18.4,56,
Martinsville,159,115,775000,810000,2.65,21000,3.31,22128,34.8,64,
Mendham,507,357,1100000,1122000,0.11,1000,1.95,6174,49.6,69,
Metuchen,633,407,650000,700000,4.01,25000,5.21,35877,27.8,62,
Millburn,304,196,1188000,1276388,6.34,63500,7.85,85508,30.1,60,
Millington,107,75,849000,875000,4.0,28000,4.31,39140,26.7,62,
Montclair,1448,741,989000,1202000,17.41,161000,18.03,194497,14.8,59,
Montville,637,327,735000,788610,4.84,32101,4.89,34279,28.7,67,
Morris Plains,836,469,675000,710000,4.14,25201,5.18,36007,26.4,59,
Morris Township,407,217,799000,850000,4.0,30000,5.75,47023,28.6,62,
Morristown,1296,814,775000,811500,3.14,24000,4.89,38917,35.1,64,
Mountain Lakes,232,129,1100000,1200000,2.56,28000,4.6,47412,35.7,76,
Mountainside,289,182,905000,970000,4.42,33525,6.19,57975,31.9,64,
New Providence,461,315,850000,930000,8.28,70000,8.84,84148,21.3,55,
North Caldwell,99,53,995000,1055000,4.2,40000,6.0,54561,32.1,58,
Nutley,1042,490,608500,649500,4.96,25050,5.66,32397,27.6,67,
Randolph,926,582,735000,779278,3.93,26000,5.2,38045,28.7,64,
Roseland,241,93,750000,775000,5.18,35000,6.15,46780,25.8,64,
Scotch Plains,843,531,819000,875000,5.43,37000,6.87,60621,27.5,62,
Short Hills,558,399,2188000,2280000,3.15,55000,5.02,77612,40.9,67,
South Orange,673,443,925000,1075000,9.09,75000,11.29,110603,16.5,62,
South Plainfield,764,464,529950,555000,3.34,19000,4.07,20551,26.5,65,
Springfield,634,348,625000,661000,4.01,22000,4.89,31767,26.4,63,
Stirling,92,54,624950,667500,3.66,21000,5.11,33242,31.5,63,
Summit,895,608,1267000,1400000,7.55,75500,8.85,112933,26.8,61,
Towaco,139,101,699999,720000,1.76,15100,4.05,37824,35.6,64,
Verona,652,348,649000,720000,6.13,31000,8.52,64761,30.5,61,
Warren,745,444,1150000,1177500,0.0,0,0.7,667,56.3,73,
Watchung,224,151,989000,999999,0.0,0,2.05,14848,52.3,76,
West Caldwell,123,46,674450,745000,10.19,63555,8.89,58794,17.4,62,
West Orange,2011,1055,599900,655000,7.32,41000,8.57,53717,21.1,62,
Westfield,1274,835,1150000,1260000,5.45,59001,7.4,77899,26.6,59,
Woodbridge,766,465,429000,450000,2.76,12000,3.82,16275,30.3,68,
