close_month,month_num,sales_all,n_lag,median_days_list_to_close,pct_listed_same_month,pct_listed_1mo_before,pct_listed_2mo_before,pct_listed_3mo_before,pct_listed_4mo_or_more_before,pct_fresh,pct_aged,thin
Jan,1,2494,1251,77,1.0,11.4,36.7,29.2,21.7,12.4,87.6,
Feb,2,2064,1055,74,2.3,24.6,25.6,19.5,28.0,26.9,73.1,
Mar,3,2526,1416,57,1.9,24.6,45.6,10.0,17.9,26.6,73.4,
Apr,4,2879,1672,56,1.8,27.7,41.6,17.7,11.2,29.5,70.5,
May,5,3499,1683,57,2.4,23.2,50.5,14.7,9.2,25.6,74.4,
Jun,6,4261,2712,61,1.8,21.5,49.2,18.7,8.8,23.3,76.7,
Jul,7,5170,3003,63,1.3,19.2,46.0,22.7,10.8,20.4,79.6,
Aug,8,4478,2554,63,1.2,19.8,45.0,22.5,11.5,21.0,79.0,
Sep,9,3353,1868,63,1.1,18.0,45.7,20.9,14.3,19.1,80.9,
Oct,10,3326,1729,63,1.0,27.5,35.0,21.8,14.6,28.6,71.4,
Nov,11,3160,1745,61,0.7,21.2,47.0,17.1,14.0,21.9,78.1,
Dec,12,3244,1623,64,1.6,15.7,44.4,24.8,13.5,17.3,82.7,
